p30_id,source_issue_id,phase,priority,severity,category,gate,path,title,disposition,owner,blocker,next_pass_target,evidence
P30-ABSORB-0014,AIDENS-HA-20260508-0014,P30-03,P0,High,REPLAY-IDENTITY,must-fix,AiDENs/crates/aidens-tool-kit/src/lib.rs,Tool exposure set has a constant artifact ID,fixed,P30,,,code diff; cargo check/test/clippy/doc logs; scripts/verify.sh; p30_guard hard=0
P30-ABSORB-0015,AIDENS-HA-20260508-0015,P30-05,P0,High,VERIFICATION-SEMANTICS,must-fix,AiDENs/crates/aidens-runner/src/lib.rs,Advisory-only checks can be represented as succeeded verification attempts,fixed,P30,,,code diff; cargo check/test/clippy/doc logs; scripts/verify.sh; p30_guard hard=0
P30-ABSORB-0016,AIDENS-HA-20260508-0016,P30-02,P1,High,COMMAND-SANDBOX,must-fix,AiDENs/crates/aidens-tool-kit/src/lib.rs,Command runner clears env then re-injects ambient PATH/CARGO_HOME/RUSTUP_HOME,fixed,P30,,,code diff; cargo check/test/clippy/doc logs; scripts/verify.sh; p30_guard hard=0
P30-ABSORB-0017,AIDENS-HA-20260508-0017,P30-02,P1,High,COMMAND-SANDBOX,must-fix,AiDENs/crates/aidens-tool-kit/src/lib.rs,Timeout kills only the immediate child process,quarantined,P31 command sandbox owner,"P30 propagates child.kill errors, but full process-group/job-object termination was not implemented.",Implement process-group termination and grandchild survival regression.,handoffs/p30/UNRESOLVED_RISK_LEDGER.md; target/p30/audit/parent_make_gate.log boundary noted
P30-ABSORB-0018,AIDENS-HA-20260508-0018,P30-04,P1,High,DEFAULTS,must-fix,AiDENs/crates/aidens-runner/src/lib.rs,Default receipt level is Minimal,fixed,P30,,,code diff; cargo check/test/clippy/doc logs; scripts/verify.sh; p30_guard hard=0
P30-ABSORB-0019,AIDENS-HA-20260508-0019,P30-06,P1,High,DOC-DRIFT,must-fix-or-explicit-quarantine,AiDENs/crates/aidens-cli/src/package.rs,Completion audit report hardcodes stale source basis,fixed,P30,,,code diff; cargo check/test/clippy/doc logs; scripts/verify.sh; p30_guard hard=0
P30-ABSORB-0020,AIDENS-HA-20260508-0020,P30-04,P1,High,FAILURE-EVIDENCE,must-fix,AiDENs/crates/aidens-runner/src/lib.rs,Failure control records can vanish when canonical receipts are absent,fixed,P30,,,code diff; cargo check/test/clippy/doc logs; scripts/verify.sh; p30_guard hard=0
P30-ABSORB-0021,AIDENS-HA-20260508-0021,P30-06,P1,High,GATE-DRIFT,must-fix-or-explicit-quarantine,AiDENs/schemas/artifact_envelope.schema.json,Referenced/expected gate artifact is absent: schemas/artifact_envelope.schema.json,quarantined,P31 hardening owner,Requires broader architectural or historical gate restoration outside this focused runtime pass.,P31 targeted closure for this row before any release-certified claim.,handoffs/p30/UNRESOLVED_RISK_LEDGER.md; handoffs/p30/V11B_CONFORMANCE_DEBT_LEDGER.md
P30-ABSORB-0022,AIDENS-HA-20260508-0022,P30-06,P1,High,GATE-DRIFT,must-fix-or-explicit-quarantine,AiDENs/scripts/p24_verify.sh,Referenced/expected gate artifact is absent: scripts/p24_verify.sh,quarantined,P31 hardening owner,Requires broader architectural or historical gate restoration outside this focused runtime pass.,P31 targeted closure for this row before any release-certified claim.,handoffs/p30/UNRESOLVED_RISK_LEDGER.md; handoffs/p30/V11B_CONFORMANCE_DEBT_LEDGER.md
P30-ABSORB-0023,AIDENS-HA-20260508-0023,P30-06,P1,High,GATE-DRIFT,must-fix-or-explicit-quarantine,AiDENs/scripts/p25_verify.sh,Referenced/expected gate artifact is absent: scripts/p25_verify.sh,quarantined,P31 hardening owner,Requires broader architectural or historical gate restoration outside this focused runtime pass.,P31 targeted closure for this row before any release-certified claim.,handoffs/p30/UNRESOLVED_RISK_LEDGER.md; handoffs/p30/V11B_CONFORMANCE_DEBT_LEDGER.md
P30-ABSORB-0024,AIDENS-HA-20260508-0024,P30-06,P1,High,GATE-DRIFT,must-fix-or-explicit-quarantine,AiDENs/scripts/p26_verify.sh,Referenced/expected gate artifact is absent: scripts/p26_verify.sh,quarantined,P31 hardening owner,Requires broader architectural or historical gate restoration outside this focused runtime pass.,P31 targeted closure for this row before any release-certified claim.,handoffs/p30/UNRESOLVED_RISK_LEDGER.md; handoffs/p30/V11B_CONFORMANCE_DEBT_LEDGER.md
P30-ABSORB-0025,AIDENS-HA-20260508-0025,P30-06,P1,High,GATE-DRIFT,must-fix-or-explicit-quarantine,AiDENs/scripts/p27_verify.sh,Referenced/expected gate artifact is absent: scripts/p27_verify.sh,quarantined,P31 hardening owner,Requires broader architectural or historical gate restoration outside this focused runtime pass.,P31 targeted closure for this row before any release-certified claim.,handoffs/p30/UNRESOLVED_RISK_LEDGER.md; handoffs/p30/V11B_CONFORMANCE_DEBT_LEDGER.md
P30-ABSORB-0026,AIDENS-HA-20260508-0026,P30-06,P1,High,GATE-DRIFT,must-fix-or-explicit-quarantine,AiDENs/scripts/p28_verify.sh,Referenced/expected gate artifact is absent: scripts/p28_verify.sh,quarantined,P31 hardening owner,Requires broader architectural or historical gate restoration outside this focused runtime pass.,P31 targeted closure for this row before any release-certified claim.,handoffs/p30/UNRESOLVED_RISK_LEDGER.md; handoffs/p30/V11B_CONFORMANCE_DEBT_LEDGER.md
P30-ABSORB-0027,AIDENS-HA-20260508-0027,P30-06,P1,High,GATE-DRIFT,must-fix-or-explicit-quarantine,AiDENs/scripts/verify.sh,Current verifier exists but does not replace missing historical phase gates by itself,quarantined,P31 hardening owner,Requires broader architectural or historical gate restoration outside this focused runtime pass.,P31 targeted closure for this row before any release-certified claim.,handoffs/p30/UNRESOLVED_RISK_LEDGER.md; handoffs/p30/V11B_CONFORMANCE_DEBT_LEDGER.md
P30-ABSORB-0028,AIDENS-HA-20260508-0028,P30-06,P1,High,PACKAGE-HYGIENE,must-fix-or-explicit-quarantine,AiDENs-aidens-next-codex-context-20260508.manifest.json,Root markdown archive is disabled while 134 ambiguous root markdown files remain,quarantined,P31 hardening owner,Requires broader architectural or historical gate restoration outside this focused runtime pass.,P31 targeted closure for this row before any release-certified claim.,handoffs/p30/UNRESOLVED_RISK_LEDGER.md; handoffs/p30/V11B_CONFORMANCE_DEBT_LEDGER.md
P30-ABSORB-0029,AIDENS-HA-20260508-0029,P30-01,P1,High,PARSER-BOUNDARY,must-fix,AiDENs/crates/aidens-runner/src/provider_tool.rs,Tool-call detection is substring-based,fixed,P30,,,code diff; cargo check/test/clippy/doc logs; scripts/verify.sh; p30_guard hard=0
P30-ABSORB-0030,AIDENS-HA-20260508-0030,P30-02,P1,High,PERMIT-SCOPE,must-fix-or-explicit-quarantine,AiDENs/crates/aidens-tool-kit/src/lib.rs,Permit/sandbox scope can fall back to wildcard,quarantined,P31 hardening owner,Requires broader architectural or historical gate restoration outside this focused runtime pass.,P31 targeted closure for this row before any release-certified claim.,handoffs/p30/UNRESOLVED_RISK_LEDGER.md; handoffs/p30/V11B_CONFORMANCE_DEBT_LEDGER.md
P30-ABSORB-0031,AIDENS-HA-20260508-0031,P30-06,P1,High,PROVIDER-CAPABILITY,must-fix-or-explicit-quarantine,AiDENs/crates/aidens-provider-kit/src/lib.rs,Provider matrix exposes many provider kinds that are unavailable at execution,quarantined,P31 hardening owner,Requires broader architectural or historical gate restoration outside this focused runtime pass.,P31 targeted closure for this row before any release-certified claim.,handoffs/p30/UNRESOLVED_RISK_LEDGER.md; handoffs/p30/V11B_CONFORMANCE_DEBT_LEDGER.md
P30-ABSORB-0032,AIDENS-HA-20260508-0032,P30-03,P1,High,REPLAY-IDENTITY,must-fix,AiDENs/crates/aidens-agency-kit/src/lib.rs,Random UUID appears in identity path,fixed,P30,,,code diff; cargo check/test/clippy/doc logs; scripts/verify.sh; p30_guard hard=0
P30-ABSORB-0033,AIDENS-HA-20260508-0033,P30-03,P1,High,REPLAY-IDENTITY,must-fix,AiDENs/crates/aidens-cli/src/agent.rs,Process-local generated_artifact_id used outside its definition,fixed,P30,,,code diff; cargo check/test/clippy/doc logs; scripts/verify.sh; p30_guard hard=0
P30-ABSORB-0034,AIDENS-HA-20260508-0034,P30-03,P1,High,REPLAY-IDENTITY,must-fix,AiDENs/crates/aidens-contracts/src/agent_bundle.rs,Process-local generated_artifact_id used outside its definition,fixed,P30,,,code diff; cargo check/test/clippy/doc logs; scripts/verify.sh; p30_guard hard=0
P30-ABSORB-0035,AIDENS-HA-20260508-0035,P30-03,P1,High,REPLAY-IDENTITY,must-fix,AiDENs/crates/aidens-contracts/src/agent_bundle.rs,Process-local generated_artifact_id used outside its definition,fixed,P30,,,code diff; cargo check/test/clippy/doc logs; scripts/verify.sh; p30_guard hard=0
P30-ABSORB-0036,AIDENS-HA-20260508-0036,P30-03,P1,High,REPLAY-IDENTITY,must-fix,AiDENs/crates/aidens-contracts/src/app_status.rs,Process-local generated_artifact_id used outside its definition,fixed,P30,,,code diff; cargo check/test/clippy/doc logs; scripts/verify.sh; p30_guard hard=0
P30-ABSORB-0037,AIDENS-HA-20260508-0037,P30-03,P1,High,REPLAY-IDENTITY,must-fix,AiDENs/crates/aidens-contracts/src/app_status.rs,Process-local generated_artifact_id used outside its definition,fixed,P30,,,code diff; cargo check/test/clippy/doc logs; scripts/verify.sh; p30_guard hard=0
P30-ABSORB-0038,AIDENS-HA-20260508-0038,P30-03,P1,High,REPLAY-IDENTITY,must-fix,AiDENs/crates/aidens-contracts/src/app_status.rs,Process-local generated_artifact_id used outside its definition,fixed,P30,,,code diff; cargo check/test/clippy/doc logs; scripts/verify.sh; p30_guard hard=0
P30-ABSORB-0039,AIDENS-HA-20260508-0039,P30-03,P1,High,REPLAY-IDENTITY,must-fix,AiDENs/crates/aidens-contracts/src/app_status.rs,Process-local generated_artifact_id used outside its definition,fixed,P30,,,code diff; cargo check/test/clippy/doc logs; scripts/verify.sh; p30_guard hard=0
P30-ABSORB-0040,AIDENS-HA-20260508-0040,P30-03,P1,High,REPLAY-IDENTITY,must-fix,AiDENs/crates/aidens-contracts/src/app_status.rs,Process-local generated_artifact_id used outside its definition,fixed,P30,,,code diff; cargo check/test/clippy/doc logs; scripts/verify.sh; p30_guard hard=0
P30-ABSORB-0041,AIDENS-HA-20260508-0041,P30-03,P1,High,REPLAY-IDENTITY,must-fix,AiDENs/crates/aidens-contracts/src/app_status.rs,Process-local generated_artifact_id used outside its definition,fixed,P30,,,code diff; cargo check/test/clippy/doc logs; scripts/verify.sh; p30_guard hard=0
P30-ABSORB-0042,AIDENS-HA-20260508-0042,P30-03,P1,High,REPLAY-IDENTITY,must-fix,AiDENs/crates/aidens-contracts/src/app_status.rs,Process-local generated_artifact_id used outside its definition,fixed,P30,,,code diff; cargo check/test/clippy/doc logs; scripts/verify.sh; p30_guard hard=0
P30-ABSORB-0043,AIDENS-HA-20260508-0043,P30-03,P1,High,REPLAY-IDENTITY,must-fix,AiDENs/crates/aidens-contracts/src/app_status.rs,Process-local generated_artifact_id used outside its definition,fixed,P30,,,code diff; cargo check/test/clippy/doc logs; scripts/verify.sh; p30_guard hard=0
P30-ABSORB-0044,AIDENS-HA-20260508-0044,P30-03,P1,High,REPLAY-IDENTITY,must-fix,AiDENs/crates/aidens-contracts/src/app_status.rs,Process-local generated_artifact_id used outside its definition,fixed,P30,,,code diff; cargo check/test/clippy/doc logs; scripts/verify.sh; p30_guard hard=0
P30-ABSORB-0045,AIDENS-HA-20260508-0045,P30-03,P1,High,REPLAY-IDENTITY,must-fix,AiDENs/crates/aidens-contracts/src/capability_turn.rs,Process-local generated_artifact_id used outside its definition,fixed,P30,,,code diff; cargo check/test/clippy/doc logs; scripts/verify.sh; p30_guard hard=0
P30-ABSORB-0046,AIDENS-HA-20260508-0046,P30-03,P1,High,REPLAY-IDENTITY,must-fix,AiDENs/crates/aidens-contracts/src/capability_turn.rs,Process-local generated_artifact_id used outside its definition,fixed,P30,,,code diff; cargo check/test/clippy/doc logs; scripts/verify.sh; p30_guard hard=0
P30-ABSORB-0047,AIDENS-HA-20260508-0047,P30-03,P1,High,REPLAY-IDENTITY,must-fix,AiDENs/crates/aidens-contracts/src/capability_turn.rs,Process-local generated_artifact_id used outside its definition,fixed,P30,,,code diff; cargo check/test/clippy/doc logs; scripts/verify.sh; p30_guard hard=0
P30-ABSORB-0048,AIDENS-HA-20260508-0048,P30-03,P1,High,REPLAY-IDENTITY,must-fix,AiDENs/crates/aidens-contracts/src/capability_turn.rs,Process-local generated_artifact_id used outside its definition,fixed,P30,,,code diff; cargo check/test/clippy/doc logs; scripts/verify.sh; p30_guard hard=0
P30-ABSORB-0049,AIDENS-HA-20260508-0049,P30-03,P1,High,REPLAY-IDENTITY,must-fix,AiDENs/crates/aidens-contracts/src/capability_turn.rs,Process-local generated_artifact_id used outside its definition,fixed,P30,,,code diff; cargo check/test/clippy/doc logs; scripts/verify.sh; p30_guard hard=0
P30-ABSORB-0050,AIDENS-HA-20260508-0050,P30-03,P1,High,REPLAY-IDENTITY,must-fix,AiDENs/crates/aidens-contracts/src/capability_turn.rs,Process-local generated_artifact_id used outside its definition,fixed,P30,,,code diff; cargo check/test/clippy/doc logs; scripts/verify.sh; p30_guard hard=0
P30-ABSORB-0051,AIDENS-HA-20260508-0051,P30-03,P1,High,REPLAY-IDENTITY,must-fix,AiDENs/crates/aidens-contracts/src/capability_turn.rs,Process-local generated_artifact_id used outside its definition,fixed,P30,,,code diff; cargo check/test/clippy/doc logs; scripts/verify.sh; p30_guard hard=0
P30-ABSORB-0052,AIDENS-HA-20260508-0052,P30-03,P1,High,REPLAY-IDENTITY,must-fix,AiDENs/crates/aidens-contracts/src/capability_turn.rs,Process-local generated_artifact_id used outside its definition,fixed,P30,,,code diff; cargo check/test/clippy/doc logs; scripts/verify.sh; p30_guard hard=0
P30-ABSORB-0053,AIDENS-HA-20260508-0053,P30-03,P1,High,REPLAY-IDENTITY,must-fix,AiDENs/crates/aidens-contracts/src/capability_turn.rs,Process-local generated_artifact_id used outside its definition,fixed,P30,,,code diff; cargo check/test/clippy/doc logs; scripts/verify.sh; p30_guard hard=0
P30-ABSORB-0054,AIDENS-HA-20260508-0054,P30-03,P1,High,REPLAY-IDENTITY,must-fix,AiDENs/crates/aidens-contracts/src/capability_turn.rs,Process-local generated_artifact_id used outside its definition,fixed,P30,,,code diff; cargo check/test/clippy/doc logs; scripts/verify.sh; p30_guard hard=0
P30-ABSORB-0055,AIDENS-HA-20260508-0055,P30-03,P1,High,REPLAY-IDENTITY,must-fix,AiDENs/crates/aidens-contracts/src/capability_turn.rs,Process-local generated_artifact_id used outside its definition,fixed,P30,,,code diff; cargo check/test/clippy/doc logs; scripts/verify.sh; p30_guard hard=0
P30-ABSORB-0056,AIDENS-HA-20260508-0056,P30-03,P1,High,REPLAY-IDENTITY,must-fix,AiDENs/crates/aidens-contracts/src/capability_turn.rs,Process-local generated_artifact_id used outside its definition,fixed,P30,,,code diff; cargo check/test/clippy/doc logs; scripts/verify.sh; p30_guard hard=0
P30-ABSORB-0057,AIDENS-HA-20260508-0057,P30-03,P1,High,REPLAY-IDENTITY,must-fix,AiDENs/crates/aidens-contracts/src/capability_turn.rs,Process-local generated_artifact_id used outside its definition,fixed,P30,,,code diff; cargo check/test/clippy/doc logs; scripts/verify.sh; p30_guard hard=0
P30-ABSORB-0058,AIDENS-HA-20260508-0058,P30-03,P1,High,REPLAY-IDENTITY,must-fix,AiDENs/crates/aidens-contracts/src/capability_turn.rs,Process-local generated_artifact_id used outside its definition,fixed,P30,,,code diff; cargo check/test/clippy/doc logs; scripts/verify.sh; p30_guard hard=0
P30-ABSORB-0059,AIDENS-HA-20260508-0059,P30-03,P1,High,REPLAY-IDENTITY,must-fix,AiDENs/crates/aidens-contracts/src/capability_turn.rs,Process-local generated_artifact_id used outside its definition,fixed,P30,,,code diff; cargo check/test/clippy/doc logs; scripts/verify.sh; p30_guard hard=0
P30-ABSORB-0060,AIDENS-HA-20260508-0060,P30-03,P1,High,REPLAY-IDENTITY,must-fix,AiDENs/crates/aidens-contracts/src/capability_turn.rs,Process-local generated_artifact_id used outside its definition,fixed,P30,,,code diff; cargo check/test/clippy/doc logs; scripts/verify.sh; p30_guard hard=0
P30-ABSORB-0061,AIDENS-HA-20260508-0061,P30-03,P1,High,REPLAY-IDENTITY,must-fix,AiDENs/crates/aidens-contracts/src/capability_turn.rs,Process-local generated_artifact_id used outside its definition,fixed,P30,,,code diff; cargo check/test/clippy/doc logs; scripts/verify.sh; p30_guard hard=0
P30-ABSORB-0062,AIDENS-HA-20260508-0062,P30-03,P1,High,REPLAY-IDENTITY,must-fix,AiDENs/crates/aidens-contracts/src/capability_turn.rs,Process-local generated_artifact_id used outside its definition,fixed,P30,,,code diff; cargo check/test/clippy/doc logs; scripts/verify.sh; p30_guard hard=0
P30-ABSORB-0063,AIDENS-HA-20260508-0063,P30-03,P1,High,REPLAY-IDENTITY,must-fix,AiDENs/crates/aidens-contracts/src/capability_turn.rs,Process-local generated_artifact_id used outside its definition,fixed,P30,,,code diff; cargo check/test/clippy/doc logs; scripts/verify.sh; p30_guard hard=0
P30-ABSORB-0064,AIDENS-HA-20260508-0064,P30-03,P1,High,REPLAY-IDENTITY,must-fix,AiDENs/crates/aidens-contracts/src/capability_turn.rs,Process-local generated_artifact_id used outside its definition,fixed,P30,,,code diff; cargo check/test/clippy/doc logs; scripts/verify.sh; p30_guard hard=0
P30-ABSORB-0065,AIDENS-HA-20260508-0065,P30-03,P1,High,REPLAY-IDENTITY,must-fix,AiDENs/crates/aidens-contracts/src/daemon_queue.rs,Process-local generated_artifact_id used outside its definition,fixed,P30,,,code diff; cargo check/test/clippy/doc logs; scripts/verify.sh; p30_guard hard=0
P30-ABSORB-0066,AIDENS-HA-20260508-0066,P30-03,P1,High,REPLAY-IDENTITY,must-fix,AiDENs/crates/aidens-contracts/src/daemon_queue.rs,Process-local generated_artifact_id used outside its definition,fixed,P30,,,code diff; cargo check/test/clippy/doc logs; scripts/verify.sh; p30_guard hard=0
P30-ABSORB-0067,AIDENS-HA-20260508-0067,P30-03,P1,High,REPLAY-IDENTITY,must-fix,AiDENs/crates/aidens-contracts/src/daemon_queue.rs,Process-local generated_artifact_id used outside its definition,fixed,P30,,,code diff; cargo check/test/clippy/doc logs; scripts/verify.sh; p30_guard hard=0
P30-ABSORB-0068,AIDENS-HA-20260508-0068,P30-03,P1,High,REPLAY-IDENTITY,must-fix,AiDENs/crates/aidens-contracts/src/lib.rs,Process-local generated_artifact_id used outside its definition,fixed,P30,,,code diff; cargo check/test/clippy/doc logs; scripts/verify.sh; p30_guard hard=0
P30-ABSORB-0069,AIDENS-HA-20260508-0069,P30-03,P1,High,REPLAY-IDENTITY,must-fix,AiDENs/crates/aidens-contracts/src/lib.rs,Process-local generated_artifact_id used outside its definition,fixed,P30,,,code diff; cargo check/test/clippy/doc logs; scripts/verify.sh; p30_guard hard=0
P30-ABSORB-0070,AIDENS-HA-20260508-0070,P30-03,P1,High,REPLAY-IDENTITY,must-fix,AiDENs/crates/aidens-contracts/src/lib.rs,Process-local generated_artifact_id used outside its definition,fixed,P30,,,code diff; cargo check/test/clippy/doc logs; scripts/verify.sh; p30_guard hard=0
P30-ABSORB-0071,AIDENS-HA-20260508-0071,P30-03,P1,High,REPLAY-IDENTITY,must-fix,AiDENs/crates/aidens-contracts/src/lib.rs,Process-local generated_artifact_id used outside its definition,fixed,P30,,,code diff; cargo check/test/clippy/doc logs; scripts/verify.sh; p30_guard hard=0
P30-ABSORB-0072,AIDENS-HA-20260508-0072,P30-03,P1,High,REPLAY-IDENTITY,must-fix,AiDENs/crates/aidens-contracts/src/lib.rs,Process-local generated_artifact_id used outside its definition,fixed,P30,,,code diff; cargo check/test/clippy/doc logs; scripts/verify.sh; p30_guard hard=0
P30-ABSORB-0073,AIDENS-HA-20260508-0073,P30-03,P1,High,REPLAY-IDENTITY,must-fix,AiDENs/crates/aidens-contracts/src/mechanism_display.rs,Process-local generated_artifact_id used outside its definition,fixed,P30,,,code diff; cargo check/test/clippy/doc logs; scripts/verify.sh; p30_guard hard=0
P30-ABSORB-0074,AIDENS-HA-20260508-0074,P30-03,P1,High,REPLAY-IDENTITY,must-fix,AiDENs/crates/aidens-contracts/src/mechanism_display.rs,Process-local generated_artifact_id used outside its definition,fixed,P30,,,code diff; cargo check/test/clippy/doc logs; scripts/verify.sh; p30_guard hard=0
P30-ABSORB-0075,AIDENS-HA-20260508-0075,P30-03,P1,High,REPLAY-IDENTITY,must-fix,AiDENs/crates/aidens-contracts/src/mechanism_display.rs,Process-local generated_artifact_id used outside its definition,fixed,P30,,,code diff; cargo check/test/clippy/doc logs; scripts/verify.sh; p30_guard hard=0
P30-ABSORB-0076,AIDENS-HA-20260508-0076,P30-03,P1,High,REPLAY-IDENTITY,must-fix,AiDENs/crates/aidens-contracts/src/mechanism_display.rs,Process-local generated_artifact_id used outside its definition,fixed,P30,,,code diff; cargo check/test/clippy/doc logs; scripts/verify.sh; p30_guard hard=0
P30-ABSORB-0077,AIDENS-HA-20260508-0077,P30-03,P1,High,REPLAY-IDENTITY,must-fix,AiDENs/crates/aidens-contracts/src/provider.rs,Process-local generated_artifact_id used outside its definition,fixed,P30,,,code diff; cargo check/test/clippy/doc logs; scripts/verify.sh; p30_guard hard=0
P30-ABSORB-0078,AIDENS-HA-20260508-0078,P30-03,P1,High,REPLAY-IDENTITY,must-fix,AiDENs/crates/aidens-contracts/src/provider.rs,Process-local generated_artifact_id used outside its definition,fixed,P30,,,code diff; cargo check/test/clippy/doc logs; scripts/verify.sh; p30_guard hard=0
P30-ABSORB-0079,AIDENS-HA-20260508-0079,P30-03,P1,High,REPLAY-IDENTITY,must-fix,AiDENs/crates/aidens-contracts/src/provider.rs,Process-local generated_artifact_id used outside its definition,fixed,P30,,,code diff; cargo check/test/clippy/doc logs; scripts/verify.sh; p30_guard hard=0
P30-ABSORB-0080,AIDENS-HA-20260508-0080,P30-03,P1,High,REPLAY-IDENTITY,must-fix,AiDENs/crates/aidens-contracts/src/provider.rs,Process-local generated_artifact_id used outside its definition,fixed,P30,,,code diff; cargo check/test/clippy/doc logs; scripts/verify.sh; p30_guard hard=0
P30-ABSORB-0081,AIDENS-HA-20260508-0081,P30-03,P1,High,REPLAY-IDENTITY,must-fix,AiDENs/crates/aidens-contracts/src/release_completion.rs,Process-local generated_artifact_id used outside its definition,fixed,P30,,,code diff; cargo check/test/clippy/doc logs; scripts/verify.sh; p30_guard hard=0
P30-ABSORB-0082,AIDENS-HA-20260508-0082,P30-03,P1,High,REPLAY-IDENTITY,must-fix,AiDENs/crates/aidens-contracts/src/release_completion.rs,Process-local generated_artifact_id used outside its definition,fixed,P30,,,code diff; cargo check/test/clippy/doc logs; scripts/verify.sh; p30_guard hard=0
P30-ABSORB-0083,AIDENS-HA-20260508-0083,P30-03,P1,High,REPLAY-IDENTITY,must-fix,AiDENs/crates/aidens-contracts/src/release_completion.rs,Process-local generated_artifact_id used outside its definition,fixed,P30,,,code diff; cargo check/test/clippy/doc logs; scripts/verify.sh; p30_guard hard=0
P30-ABSORB-0084,AIDENS-HA-20260508-0084,P30-03,P1,High,REPLAY-IDENTITY,must-fix,AiDENs/crates/aidens-contracts/src/release_completion.rs,Process-local generated_artifact_id used outside its definition,fixed,P30,,,code diff; cargo check/test/clippy/doc logs; scripts/verify.sh; p30_guard hard=0
