id,lane,priority,wave,agent,status,title,finding,why_it_matters,evidence,spec_anchors,required_changes,acceptance,proof,touches
CCS-011,current-live-hardening,P1,W3,proof-conformance,open,Expand kernel tests from existence proofs to failure-surface coverage,"The hostile zero-test claim is stale, but the kernel lane still needs focused tests for oscillation, budget exhaustion, negative updates, and pathological residual behavior.",The kernel is the exact place where silent wrongness becomes expensive.,"Current test markers: kernel-oracles 13, kernel-execution 10, recursive-kernel-core 3. These are real, but not enough for full constitutional confidence.","V11 §4.2-§4.5, §5.3; V12 §6; ENDSTATE §7 and §17.3","Add property tests and deterministic fixtures for empty graphs, single-node graphs, oscillation boundaries, budget exhaustion, contradiction preservation under widening, and witness/refuter edge cases.",Kernel crates have dedicated failure-surface tests and property tests; regression fixtures cover bounded exact vs degraded outcomes.,"rg -n ""budget|oscillat|widen|residual|refut|witness"" kernel-oracles kernel-execution recursive-kernel-core tests && cargo test -p kernel-oracles -p kernel-execution -p recursive-kernel-core",kernel-oracles/src/lib.rs or tests; kernel-execution/src/lib.rs or tests; recursive-kernel-core/src/lib.rs or tests; kernel-conformance/tests/*
CCS-012,current-live-hardening,P1,W3,proof-conformance,open,Add impossible-to-bypass blocked-execution end-to-end tests,"Current tests show policy decisions and artifact roundtrips, but they do not prove that blocked/advisory decisions are impossible to bypass once the new permit model lands.",The whole advisory-vs-enforcement gap closes only when bypass attempts fail automatically.,"verification-policy tests assert `allows_execution()`, and forge-pilot branches on it. No compile-time or runtime impossible-to-bypass test exists yet because the capability type does not exist.",V11 §8.3 consumer-only orchestrator law; ENDSTATE §10 and §17,"Add E2E tests where denied, advisory-only, expired, out-of-scope, and mismatched-effect permits all fail. Add at least one compile-fail / visibility test that token forging is impossible outside the owner crate.","Blocked execution cannot be reached in test harnesses, even when callers attempt to bypass normal orchestration code.",cargo test -p llm-tool-runtime -p forge-pilot -p verification-policy && cargo test -p verification-control,llm-tool-runtime/tests/*; forge-pilot/tests/*; verification-policy/tests/*; verification-control/tests/*
CCS-013,current-live-hardening,P1,W4,proof-conformance,open,Reduce unwrap/expect concentration in Primitives and operational hot paths,"The `Primitives` family still carries a large number of `unwrap/expect` calls, especially in `cea-sqlite`, `sandbox-workspace`, and `check-runner`. The exact count in the current snapshot is higher than the hostile text claimed because the tree has moved.","Panics in persistence, process management, or sandbox logic are production faults waiting to happen.",Current snapshot count across packaged `Primitives/*` crates is 222 unwrap/expect calls; `Primitives/cea-sqlite` alone has 77; `Primitives/check-runner` contains the only `unsafe` blocks.,V6 reliability layer; V11 failure artifacts; ENDSTATE §17.3 required test tracks,"Triage and replace panic sites in I/O, DB, and process-management paths with typed errors. Keep explicit, justified panic sites only in tests or impossible-invariant guards with comments.","Production panic inventory is intentionally small, reviewed, and documented. Hot paths no longer panic on recoverable operational errors.","rg -n ""\.unwrap\(|\.expect\("" Primitives semantic-memory forge-pilot knowledge-runtime && bash scripts/check_no_prod_panics.sh",Primitives/**; semantic-memory/**; forge-pilot/**; scripts/check_no_prod_panics.sh
CCS-014,current-live-hardening,P2,W4,surface-rationalization,open,Replace or strictly fence the brittle line-based Rust symbol extractor,`forge-pilot/src/bootstrap/extract/rust.rs` still relies on prefix-based line parsing.,"Fast is fine; undefined extraction semantics are not. If this stays, the limitation must be explicit and fail-closed.",forge-pilot/src/bootstrap/extract/rust.rs,V6 parser/patch reliability layer; ENDSTATE §18 explicit prohibitions (no silent approximation),"Either replace it with a parser-backed extractor or force it behind explicit degraded-mode markers, scope limits, and tests that prove it fails closed on unsupported syntax.",Unsupported Rust syntax cannot silently produce canonical artifacts.,"cargo test -p forge-pilot -- bootstrap && rg -n ""degraded|unsupported"" forge-pilot/src/bootstrap/extract/rust.rs",forge-pilot/src/bootstrap/extract/rust.rs; forge-pilot/tests/*; docs/limitations.md or equivalent
CCS-015,full-spec-gap,P2,W5,endstate-runtime,open,Implement the missing v12 regional runtime artifact families and scheduling law,"The current repo does not expose `RegionContractV1`, `DeltaEnvelopeV1`, `ResidualEnvelopeV1`, `SyndromeEnvelopeV1`, `RegionBoundaryReceiptV1`, `RegionConvergenceReportV1`, or `RegionExactnessBudgetV1` surfaces.",You cannot claim full v12 / endstate conformance without typed regional execution units and boundary protocols.,No hits for these artifact names in the current tree.,V12 §4-§11; ENDSTATE §11,"Add the missing artifact families, IDs, schemas, builders/validators, and bounded evaluators. Wire them into scheduler/planner logic and conformance fixtures.","All mandatory v12 regional artifact families exist, validate, serialize, and participate in conformance tests and release gates.","rg -n ""RegionContractV1|DeltaEnvelopeV1|ResidualEnvelopeV1|SyndromeEnvelopeV1|RegionBoundaryReceiptV1|RegionConvergenceReportV1|RegionExactnessBudgetV1"" semantic-memory-forge stack-ids knowledge-runtime kernel-execution contract-schema-gen conformance",semantic-memory-forge/src/v12.rs (new); stack-ids/src/ids.rs; contract-schema-gen/src/lib.rs; knowledge-runtime/**; kernel-execution/**; conformance/v12/**
CCS-016,full-spec-gap,P2,W5,endstate-runtime,open,"Implement typed local repair, nuisance-state, and cross-boundary replay families","The current repo has witnesses/syndromes and some repair receipts, but the v12 families for `RepairCandidateBundleV1`, `NuisanceEnvelopeV1`, and `RegionReplaySliceV1` are not exposed as canonical artifact families.","Local repair before global rebuild is constitutional law, not a comment. Nuisance state and replay slices must be typed.","No hits for `RepairCandidateBundleV1`, `NuisanceEnvelopeV1`, or `RegionReplaySliceV1` in the current tree.",V12 §7-§9; ENDSTATE §10-§12,"Add the missing families and connect them to repair selection, replay queries, and regional runtime decisions.","Repair, nuisance, and replay work show up as typed artifacts with validators and conformance fixtures.","rg -n ""RepairCandidateBundleV1|NuisanceEnvelopeV1|RegionReplaySliceV1"" semantic-memory-forge verification-adjudication knowledge-runtime contract-schema-gen conformance",semantic-memory-forge/src/v12.rs (new); verification-adjudication/**; knowledge-runtime/**; conformance/v12/**
CCS-017,full-spec-gap,P2,W5,endstate-runtime,open,Finish treaty/quorum/challenge closure in federated settlement,"`federated-settlement` already has bounded evaluators, but the full v16 law is not closed: explicit evidentiary quorum profiles, challenge lanes, and richer replay/publication enforcement remain incomplete.",Bounded evaluators are not full treaty runtime closure.,"`federated-settlement/src/lib.rs` has `evaluate_shared_replay`, `evaluate_divergence_or_suspension`, and `evaluate_settlement`, but the broader v16 families and challenge/quorum machinery are not all present.","V16 §6-§8, §12; ENDSTATE §14","Add missing artifact families and conformance tracks for quorum, challenge, shared publication, and replay enforcement. Preserve local dissent at every promotion boundary.","Shared settlement cannot bypass missing replay, blocking dissent, or quorum requirements; all paths emit typed downgrade/suspension artifacts.","rg -n ""EvidentiaryQuorumProfileV1|SharedViewPublicationV1|challenge"" federated-settlement contract-schema-gen conformance/v16 && cargo test -p federated-settlement",federated-settlement/src/lib.rs; tests/*; contract-schema-gen/src/lib.rs; conformance/v16/**
CCS-018,full-spec-gap,P2,W5,endstate-runtime,open,Finish theory publication / refuter / identifiability closure in mechanism runtime,"`mechanism-runtime` already blocks local review on missing refuters or stability problems, but it does not yet close the full v17 lane around publication decisions, dispute bundles, identifiability reports, and retirement/supersession.","No score-only theory publication is constitutional law. The current helper evaluator is a start, not the finish.","`mechanism-runtime/src/lib.rs` exposes `evaluate_fit_run`, but the broader v17 artifact set is incomplete.","V17 §7-§9, §13; ENDSTATE §13","Add identifiability, theory publication decision, dispute/supersession/retirement families and conformance gates. Require typed refuter suites before any non-advisory publication step.",Theory publication remains impossible without typed refuter and stability evidence; dispute and retirement are first-class artifact families.,"rg -n ""TheoryPublicationDecisionV1|IdentifiabilityReportV1|TheoryDisputeBundleV1|TheorySupersessionV1|TheoryRetirementV1"" mechanism-runtime contract-schema-gen conformance/v17 && cargo test -p mechanism-runtime",mechanism-runtime/src/lib.rs; tests/*; contract-schema-gen/src/lib.rs; conformance/v17/**
CCS-019,full-spec-gap,P2,W6,endstate-runtime,open,Implement lawful subtraction families and proofs,"The current tree has no `SupportCore`, `RemovalFrontier`, `InvariantPreservationReceipt`, or `HistoricalLossBudget` families.",You cannot claim endstate conformance without challengeable forgetting/compaction/subtraction.,No hits for these artifact names in the current tree.,ENDSTATE §9 and §12,"Define the subtraction families, add IDs/schemas/validators, and implement bounded subtraction with invariant preservation receipts and historical loss budgets.",Subtractive operations emit first-class artifacts and cannot silently discard epistemic support.,"rg -n ""SupportCore|RemovalFrontier|InvariantPreservationReceipt|HistoricalLossBudget"" semantic-memory-forge semantic-memory knowledge-runtime kernel-conformance contract-schema-gen conformance",semantic-memory-forge/src/subtraction.rs (new); stack-ids/src/ids.rs; semantic-memory/**; knowledge-runtime/**; kernel-conformance/**; conformance/endstate/**
CCS-020,full-spec-gap,P2,W6,endstate-runtime,open,Close the constitutional self-hosting loop with proof/veto/challenge enforcement,"`spec-execution` has generated schema/interpreter/proof artifacts and helper evaluators, but generated surfaces are not yet wired through a mandatory end-to-end admission/veto/challenge closure.","Generated is not admitted. The constitution must prove that at runtime, not just say it.","`spec-execution/src/lib.rs` exposes generation helpers and governance states, but full end-to-end closure remains surface-level.","V11 §5, §8; ENDSTATE §15 and §17","Add end-to-end self-hosting workflows that require proof evaluation, human veto/challenge consideration, and explicit admission receipts before generated surfaces can affect runtime behavior.","Generated schemas/interpreters remain non-admitted until proof, veto, and challenge workflows clear; this is tested and gated.","rg -n ""HumanVetoBundleV1|MetaChallengeBundleV1|SelfHostingBuildReceiptV1|admission_allowed"" spec-execution conformance && cargo test -p spec-execution",spec-execution/src/lib.rs; tests/*; conformance/v20/**; scripts/check_generated_surface_admission.py (new)
