ID,Severity,Category,Issue,Phase,Required Action,Status
BUG-006,Critical,HNSW integrity/concurrency,"`HnswIndex::update()` deletes then re-inserts, but the new `insert` uses `fetch_add` on `next_id`",Phase 05,Fix or quarantine with evidence and tests,superseded
BUG-007,Critical,HNSW integrity/concurrency,`sync_pending_hnsw_sidecar` acquires a write lock on `hnsw_index` inside a `with_write_conn` closure,Phase 05,Fix or quarantine with evidence and tests,superseded
BUG-008,Critical,HNSW integrity/concurrency,"`rebuild_hnsw_index()` writes to `hnsw_index` RwLock with `new_index.clone()`, then immediately saves `new_index` (the uncloned copy)",Phase 05,Fix or quarantine with evidence and tests,superseded
BUG-009,Critical,HNSW integrity/concurrency,HNSW `fetch_count` overflow if `deleted.len()` is huge,Phase 05,Fix or quarantine with evidence and tests,superseded
BUG-010,Critical,HNSW integrity/concurrency,`open_with_embedder()` calls `config.normalize_and_validate()` twice,Phase 05,Fix or quarantine with evidence and tests,superseded
BUG-011,High,SQLite/migration/config,`run_migrations` uses `unwrap_or(0)` on `PRAGMA user_version` read,Phase 06,Fix or quarantine with evidence and tests,superseded
BUG-012,High,SQLite/migration/config,"`run_migrations` checks `current_version` by querying `_schema_version` inside the loop, but the table is created *outside* the loop, not inside a transaction",Phase 06,Fix or quarantine with evidence and tests,superseded
BUG-013,High,SQLite/migration/config,"Migrations V9, V16, V17 are applied *outside* `with_transaction`",Phase 06,Fix or quarantine with evidence and tests,superseded
BUG-014,High,SQLite/migration/config,`with_transaction` uses `unchecked_transaction()`,Phase 06,Fix or quarantine with evidence and tests,superseded
BUG-015,High,SQLite/migration/config,`delete_namespace` iterates sessions without a namespace filter,Phase 06,Fix or quarantine with evidence and tests,superseded
BUG-016,High,SQLite/migration/config,"`delete_namespace` calls `delete_session` for sessions that match namespace, but the session's messages have their FTS entries removed first, then the session is deleted via CASCADE",Phase 06,Fix or quarantine with evidence and tests,superseded
BUG-017,High,SQLite/migration/config,`update_fact_with_fts` deletes the old FTS entry before updating the facts table,Phase 06,Fix or quarantine with evidence and tests,superseded
BUG-018,High,SQLite/migration/config,`embedding_to_bytes` uses `bytemuck::cast_slice` on a f32 slice without validating alignment of the resulting byte slice for portability,Phase 06,Fix or quarantine with evidence and tests,superseded
BUG-019,High,SQLite/migration/config,The HNSW stale-detection count query in `open_with_embedder` is duplicated identically twice,Phase 06,Fix or quarantine with evidence and tests,superseded
BUG-020,High,SQLite/migration/config,"`verify_integrity` runs the embedding count query via `with_write_conn` when `use_writer = true`, but the query is read-only",Phase 06,Fix or quarantine with evidence and tests,superseded
BUG-021,High,Search/ranking,"`sanitize_fts_query` joins tokens with `"" OR ""` but doesn't quote individual tokens",Phase 07,Fix or quarantine with evidence and tests,superseded
BUG-022,High,Search/ranking,"`sanitize_fts_query` returns `None` when all tokens are filtered, but callers then skip FTS search entirely",Phase 07,Fix or quarantine with evidence and tests,superseded
BUG-023,High,Search/ranking,`recency_contribution` divides by `(config.rrf_k + 1.0)` instead of `(config.rrf_k + rank)` for the recency term,Phase 07,Fix or quarantine with evidence and tests,superseded
BUG-024,High,Search/ranking,`rank_vector_hits` sorts by `.similarity` but `scan_vector_rows` uses `cosine_similarity` cast from `f32` to `f64`,Phase 07,Fix or quarantine with evidence and tests,superseded
BUG-025,High,Search/ranking,"`hybrid_search_with_hnsw` falls back to full brute-force scan if HNSW returns 0 hits, even when HNSW was successful (returned empty due to all entries being deleted/filtered)",Phase 07,Fix or quarantine with evidence and tests,superseded
BUG-026,High,Search/ranking,"`source_dedup_key` for `SearchSource::Message` uses `message_id.to_string()` (an `i64`), which is fine, but the corresponding merge key in knowledge-runtime uses `format!(""msg:{session_id}:{message_id}"")`",Phase 07,Fix or quarantine with evidence and tests,superseded
BUG-027,High,Search/ranking,`cosine_similarity` returns 0.0 for zero vectors instead of NaN or an error,Phase 07,Fix or quarantine with evidence and tests,superseded
BUG-028,High,Search/ranking,`bm25_search` for chunks uses `c.created_at` for `updated_at` but facts use `f.updated_at`,Phase 07,Fix or quarantine with evidence and tests,superseded
BUG-029,High,Search/ranking,`build_filter_clause` parameter start index is hardcoded to 3 in `bm25_search`,Phase 07,Fix or quarantine with evidence and tests,superseded
BUG-030,High,Search/ranking,"Vector search warn threshold `VECTOR_SCAN_WARN_THRESHOLD = 50_000` is per-table but the warning message says ""rows"" without specifying which table",Phase 07,Fix or quarantine with evidence and tests,superseded
BUG-031,High,Quantization/vector,"`Quantizer::quantize` clamps `zero_point_f` to `[-127.0, 127.0]` but this range is wrong for i8",Phase 08,Fix or quarantine with evidence and tests,superseded
BUG-032,High,Quantization/vector,`dequantize` formula is `(q - zero_point) * scale` but `quantize` formula is `v / scale + zero_point`,Phase 08,Fix or quarantine with evidence and tests,superseded
BUG-033,High,Quantization/vector,`pack_quantized` writes `zero_point as u8` (casting i8 to u8 by bit reinterpretation via `as`),Phase 08,Fix or quarantine with evidence and tests,superseded
BUG-034,High,Quantization/vector,`unpack_quantized` validates `bytes.len() == 5 + dimensions` but `pack_quantized` uses `Vec::with_capacity(5 + qv.data.len())`,Phase 08,Fix or quarantine with evidence and tests,superseded
BUG-035,High,Pool/concurrency/reembed,"`SqlitePool::with_read_conn` releases the reader slot via RAII `ReaderGuard`, but the `ReaderGuard` is dropped *after* `f(&conn)` returns",Phase 09,Fix or quarantine with evidence and tests,superseded
BUG-036,High,Pool/concurrency/reembed,`ReaderGuard` stores `idx: Option<usize>` but `take()` is only called in `Drop`,Phase 09,Fix or quarantine with evidence and tests,superseded
BUG-037,High,Pool/concurrency/reembed,`SqlitePool` does not cap `reader_timeout` to a sane maximum,Phase 09,Fix or quarantine with evidence and tests,superseded
BUG-038,High,Pool/concurrency/reembed,The writer connection poison recovery path logs at `warn` level but continues using the poisoned connection,Phase 09,Fix or quarantine with evidence and tests,superseded
BUG-039,High,Pool/concurrency/reembed,`MemoryStoreInner::drop` calls `hnsw_ops::recover_hnsw_sidecar_sync` which uses `pool.with_read_conn` and then `with_write_conn` synchronously,Phase 09,Fix or quarantine with evidence and tests,superseded
BUG-040,High,Pool/concurrency/reembed,`reembed_all` fetches ALL facts/chunks/messages/episodes into memory at once before batching,Phase 09,Fix or quarantine with evidence and tests,superseded
BUG-041,High,Pool/concurrency/reembed,`reembed_all` progress logging condition `if fact_count % 100 < batch_size` is wrong,Phase 09,Fix or quarantine with evidence and tests,superseded
BUG-042,High,Pool/concurrency/reembed,`reembed_all` re-embeds ALL messages but only messages `WHERE embedding IS NOT NULL` are fetched,Phase 09,Fix or quarantine with evidence and tests,superseded
BUG-043,High,Graph/chunker,`collect_neighbors` uses a `HashSet<String>` for `visited` but inserts the start node's ID before popping it from the queue,Phase 10,Fix or quarantine with evidence and tests,superseded
BUG-044,High,Graph/chunker,"`shortest_path` uses a `BTreeMap<String, String>` for `parents` but the reconstruction loop doesn't guard against infinite loops",Phase 10,Fix or quarantine with evidence and tests,superseded
BUG-045,High,Graph/chunker,`direct_edges` for `GraphDirection::Incoming` reverses outgoing edges and extends with `cause_backlinks`,Phase 10,Fix or quarantine with evidence and tests,superseded
BUG-046,High,Graph/chunker,`edge_dedup_key` serializes `edge.metadata` with `serde_json::to_string` for deduplication,Phase 10,Fix or quarantine with evidence and tests,superseded
BUG-047,High,Graph/chunker,`SEMANTIC_EDGE_LIMIT = 5` for semantic similarity edges is hardcoded and not configurable,Phase 10,Fix or quarantine with evidence and tests,superseded
BUG-048,High,Graph/chunker,"`apply_overlap` computes overlap from the *previous chunk before overlapping*, not from the *previous chunk after overlapping",Phase 10,Fix or quarantine with evidence and tests,superseded
BUG-049,High,Graph/chunker,`merge_small_chunks` condition: `(current.len() < min_size || chunk.len() < min_size) && current.len() + chunk.len() <= target_size`,Phase 10,Fix or quarantine with evidence and tests,superseded
BUG-050,High,Graph/chunker,`chunk_text` returns the full text as a single chunk if `text.len() <= config.max_size`,Phase 10,Fix or quarantine with evidence and tests,superseded
BUG-051,High,Graph/chunker,`recursive_split` does not preserve the separator when splitting,Phase 10,Fix or quarantine with evidence and tests,superseded
BUG-052,High,Graph/chunker,`force_split` will produce empty strings if `safe_split_at` returns `start` when `start + max_size > text.len()`,Phase 10,Fix or quarantine with evidence and tests,superseded
BUG-053,High,knowledge-runtime merge/classifier,`extract_entity_mention` only returns the *first* `@mention` or *first* quoted string,Phase 07,Fix or quarantine with evidence and tests,superseded
BUG-054,High,knowledge-runtime merge/classifier,"`extract_temporal_expr` returns the *first matching keyword in the list*, not the most specific",Phase 07,Fix or quarantine with evidence and tests,superseded
BUG-055,High,knowledge-runtime merge/classifier,`merge` uses `BTreeMap` for fused results but then reconstitutes order via `insertion_order: Vec<String>`,Phase 07,Fix or quarantine with evidence and tests,superseded
BUG-056,High,knowledge-runtime merge/classifier,`MergePolicy::limit = 0` is not validated,Phase 07,Fix or quarantine with evidence and tests,superseded
BUG-057,High,knowledge-runtime merge/classifier,"`result_identity_key` for `Projection` uses `format!(""projection:{projection_kind}:{projection_id}"")`",Phase 07,Fix or quarantine with evidence and tests,superseded
BUG-058,High,knowledge-runtime merge/classifier,`ScoreNormalization::MinMax` uses `f64::MIN` as the initial `max_score`,Phase 07,Fix or quarantine with evidence and tests,superseded
BUG-059,High,knowledge-runtime merge/classifier,"After `MinMax` normalization, boosted scores can exceed 1.0",Phase 07,Fix or quarantine with evidence and tests,superseded
BUG-060,High,stack-ids/TraceCtx,`TraceCtx::generate()` produces a UUID v4 formatted as 32 hex chars via `as_simple()`,Phase 11,Fix or quarantine with evidence and tests,superseded
BUG-061,High,stack-ids/TraceCtx,`from_traceparent` ignores the `flags` field entirely,Phase 11,Fix or quarantine with evidence and tests,superseded
BUG-062,High,stack-ids/TraceCtx,`hash_to_w3c_trace_id` truncates BLAKE3 to 16 bytes but BLAKE3 output is 32 bytes,Phase 11,Fix or quarantine with evidence and tests,superseded
BUG-063,High,stack-ids/TraceCtx,`add_baggage` allows duplicate keys,Phase 11,Fix or quarantine with evidence and tests,superseded
BUG-064,High,stack-ids/TraceCtx,`BaggageEntry` limits are checked on insertion but not on deserialization,Phase 11,Fix or quarantine with evidence and tests,superseded
BUG-065,High,stack-ids/TraceCtx,`SurfaceStatus` in `status.rs` has no `Display` implementation,Phase 11,Fix or quarantine with evidence and tests,superseded
BUG-066,High,AiDENs contracts v11A,"`ExecutionContextEnvelopeV1::local_started` uses `env!(""CARGO_PKG_VERSION"")` for the environment fingerprint",Phase 11,Fix or quarantine with evidence and tests,superseded
BUG-067,High,AiDENs contracts v11A,"`ExecutionContextEnvelopeV1::complete` mutates `reason_codes` by pushing, sorting, and deduplicating",Phase 11,Fix or quarantine with evidence and tests,superseded
BUG-068,High,AiDENs contracts v11A,`ToolCallReceiptV1::new` sets `started_at: context.started_at` and `completed_at: Utc::now()`,Phase 11,Fix or quarantine with evidence and tests,superseded
BUG-069,High,AiDENs contracts v11A,`ArtifactLifecycleStateV1::as_str()` is referenced in `apply_transition` but is not shown in the code excerpt,Phase 11,Fix or quarantine with evidence and tests,superseded
BUG-070,High,AiDENs contracts v11A,`ArtifactEnvelopeV1::is_promotable` does not check `lifecycle_state == Verified` exclusively — it also accepts `Promoted` artifacts for promotion,Phase 11,Fix or quarantine with evidence and tests,superseded
BUG-071,High,AiDENs contracts v11A,"`generated_artifact_id_from_material` is referenced but not shown — if it uses timestamps, it's non-deterministic for the same material",Phase 11,Fix or quarantine with evidence and tests,superseded
BUG-072,High,living-memory baseline,"`capture_baseline_provenance` uses `Command::new(""git"")` without verifying `git` is on PATH",Phase 11,Fix or quarantine with evidence and tests,superseded
BUG-073,High,living-memory baseline,`BaselineDescriptor::fingerprint()` uses `serde_json::to_string(self).unwrap_or_default()`,Phase 11,Fix or quarantine with evidence and tests,superseded
BUG-074,High,living-memory baseline,`WorkspacePolicy::max_workspace_bytes` has no enforcement mechanism visible in the codebase,Phase 11,Fix or quarantine with evidence and tests,superseded
BUG-075,High,living-memory baseline,"`ComparabilityPolicy::timing_admissible = false` by default, but no code enforces this",Phase 11,Fix or quarantine with evidence and tests,superseded
BUG-076,High,SQLite/migration/config,"`MIGRATION_V9` is an empty string `""""`",Phase 06,Fix or quarantine with evidence and tests,superseded
BUG-077,High,SQLite/migration/config,`MIGRATION_V10` is accessed via `crate::projection_import::MIGRATION_V10` with `#[allow(deprecated)]`,Phase 06,Fix or quarantine with evidence and tests,superseded
BUG-078,High,SQLite/migration/config,`MAX_SCHEMA_VERSION = 17` but the migrations array has indices 1-17,Phase 06,Fix or quarantine with evidence and tests,superseded
BUG-079,High,SQLite/migration/config,"`episodes_rowid_map` in `MIGRATION_V7` has column `document_id` but after `MIGRATION_V9`, episodes use `episode_id` as PK",Phase 06,Fix or quarantine with evidence and tests,superseded
BUG-080,High,SQLite/migration/config,`MIGRATION_V6` defines `episodes.document_id TEXT PRIMARY KEY` but `MIGRATION_V9` creates `episodes_new` with `episode_id TEXT PRIMARY KEY` and `document_id TEXT NOT NULL`,Phase 06,Fix or quarantine with evidence and tests,superseded
BUG-081,High,SQLite/migration/config,`MemoryLimits::validated()` silently swallows validation errors and returns defaults,Phase 06,Fix or quarantine with evidence and tests,superseded
BUG-082,High,SQLite/migration/config,`EmbeddingConfig` has no URL format validation,Phase 06,Fix or quarantine with evidence and tests,superseded
BUG-083,High,SQLite/migration/config,`ChunkingConfig::overlap` can be set to `max_size - 1` after normalization,Phase 06,Fix or quarantine with evidence and tests,superseded
BUG-084,High,SQLite/migration/config,`SearchConfig::normalize_and_validate` does not validate `default_top_k <= candidate_pool_size`,Phase 06,Fix or quarantine with evidence and tests,superseded
BUG-085,High,SQLite/migration/config,"`PoolConfig::max_read_connections = 0` validation error message says ""at least one reader connection is required"" but doesn't mention the fix",Phase 06,Fix or quarantine with evidence and tests,superseded
BUG-086,High,Misc logic,`define_id!` macro generates `impl AsRef<str>` for all ID types but not `impl Borrow<str>`,Phase 10,Fix or quarantine with evidence and tests,superseded
BUG-087,High,Misc logic,`define_id!` generates `impl From<String>` and `impl From<&str>` but the `From<String>` does not validate the string,Phase 10,Fix or quarantine with evidence and tests,superseded
BUG-088,High,Misc logic,`AttemptId` and `TrialId` have identical documentation except for one word,Phase 10,Fix or quarantine with evidence and tests,superseded
BUG-089,High,Misc logic,`QueryMode::Mixed` can contain nested `Mixed` variants,Phase 10,Fix or quarantine with evidence and tests,superseded
BUG-090,High,Misc logic,"`classify()` produces `Mixed { components }` with components collected in classifier order, not query order",Phase 10,Fix or quarantine with evidence and tests,superseded
BUG-091,High,Misc logic,"`extract_entity_mention` uses `query.find('""')` to find quoted strings, which doesn't handle escaped quotes",Phase 10,Fix or quarantine with evidence and tests,superseded
BUG-092,High,Misc logic,`check_contradiction` is purely structural (time overlap) with no semantic check,Phase 10,Fix or quarantine with evidence and tests,superseded
BUG-093,High,Misc logic,"`TemporalClaim::overlaps` returns `true` if both intervals are unbounded (None, None)",Phase 10,Fix or quarantine with evidence and tests,superseded
BUG-094,High,Misc logic,`merge_small_chunks` doesn't handle the case where all chunks are small,Phase 10,Fix or quarantine with evidence and tests,superseded
BUG-095,High,Misc logic,"`force_split` starts at `start = 0` and advances `start = end`, but `safe_split_at` can return `start` if the text at `start` is a multi-byte character sequence longer than `max_size`",Phase 10,Fix or quarantine with evidence and tests,superseded
BUG-096,High,Misc logic,"`scan_vector_rows` returns `Ok((hits, row_count))` even if 0 rows matched the min_similarity threshold",Phase 10,Fix or quarantine with evidence and tests,superseded
BUG-097,High,Misc logic,`validate_confidence` in `MemoryStore` is a static method that takes `f32` but does not check for `-0.0`,Phase 10,Fix or quarantine with evidence and tests,superseded
BUG-098,High,Misc logic,"`list_scope_domains` uses `json_extract(metadata, '$.scope_domain')` which requires SQLite JSON1 extension",Phase 10,Fix or quarantine with evidence and tests,superseded
BUG-099,High,Misc logic,`stats()` fetches `embedding_model` and `embedding_dimensions` via a query that can return `None` for both,Phase 10,Fix or quarantine with evidence and tests,superseded
BUG-100,High,Misc logic,`verify_integrity_sync` is not shown in full but is called with `VerifyMode::Full` via the write connection,Phase 10,Fix or quarantine with evidence and tests,superseded
BUG-101,Medium,Medium cross-cutting,"`days_since` parses timestamps with format `""%Y-%m-%d %H:%M:%S""` but `updated_at` fields are stored as `datetime('now')` which in SQLite produces exactly this format. However, if a row was inserted with a different timestamp format (e.g., via direct SQL insert with ISO8601), parsing fails silently (`ok()?` returns `None`), disabling recency scoring for that item.",Phase 08,Fix or quarantine with evidence and tests,superseded
BUG-102,Medium,Medium cross-cutting,"`store.chunk_text()` is a synchronous method that can be called from async contexts, but the `token_counter.count_tokens()` call has no time bound. A slow custom token counter will block the calling thread.",Phase 12,Fix or quarantine with evidence and tests,superseded
BUG-103,Medium,Medium cross-cutting,"`embed_batch_internal` acquires only ONE semaphore permit for the entire batch, regardless of batch size. This means `max_embedding_concurrency = 8` allows 8 concurrent batches of `batch_size = 32` each, totaling 256 concurrent embedding items — not 8.",Phase 08,Fix or quarantine with evidence and tests,superseded
BUG-104,Medium,Medium cross-cutting,"`hnsw_search_blocking` returns an empty `Vec` if the blocking task panics (via `unwrap_or_else`). The panic is logged at ERROR level but the search continues as if HNSW is empty, silently degrading to brute-force without surfacing the error to the caller.",Phase 08,Fix or quarantine with evidence and tests,superseded
BUG-105,Medium,Medium cross-cutting,"`open_with_embedder` validates `embedder.dimensions() != config.embedding.dimensions` but this check is done BEFORE `config.hnsw.dimensions` is set. If HNSW is enabled and the config normalization sets `hnsw.dimensions = embedding.dimensions`, this is fine — but the order dependency is fragile.",Phase 08,Fix or quarantine with evidence and tests,superseded
BUG-106,Medium,Medium cross-cutting,"`with_write_conn` closure signature `FnOnce(&Connection)` does not prevent callers from passing a closure that `spawn`s async tasks that outlive the closure, potentially holding a reference to the connection after the write lock is released.",Phase 12,Fix or quarantine with evidence and tests,superseded
BUG-107,Medium,Medium cross-cutting,"`projection_storage_query.rs` is included via `#[path = ...]` which bypasses Rust's module discovery. If the file is renamed, the compiler error will reference the `#[path]` directive line rather than the missing file, making the error less actionable.",Phase 12,Fix or quarantine with evidence and tests,superseded
BUG-108,Medium,Medium cross-cutting,"`projection_import_log` has a `UNIQUE INDEX` on `(source_envelope_id, schema_version, content_digest)`, enforcing idempotency. But `projection_import_failures` (referenced in `MIGRATION_V16`) is not shown in the audit — if it doesn't have equivalent idempotency protection, duplicate failure entries can accumulate.",Phase 12,Fix or quarantine with evidence and tests,superseded
BUG-109,Medium,Medium cross-cutting,"`EpisodeOutcome::as_str()` and `Role` parsing via `parse_role()` are used in `db.rs` but their implementations are in `types.rs` (not shown). If these return `""""` for unknown variants, SQLite `CHECK` constraints on `outcome TEXT NOT NULL` and `role TEXT NOT NULL CHECK (role IN (...))` will reject the insert with a confusing constraint violation.",Phase 12,Fix or quarantine with evidence and tests,superseded
BUG-110,Medium,Medium cross-cutting,"`merge_trace_ctx` is re-exported from `store_support` but not shown. If it's implemented as a simple field overwrite (last-write-wins), concurrent trace context merges across async boundaries will lose one of the contexts.",Phase 12,Fix or quarantine with evidence and tests,superseded
BUG-111,Medium,Medium cross-cutting,"`sanitize_fts_query` strips `""_""` handling is inconsistent: underscores are allowed through as-is (`c == '_'`), but FTS5 treats `_` as a word character — so `""foo_bar""` is treated as one token in FTS5 but would be two words in English. This is intentional but undocumented.",Phase 12,Fix or quarantine with evidence and tests,superseded
BUG-112,Medium,Medium cross-cutting,"`bm25_search` for episodes queries `episodes_fts` but not via a JOIN to `episodes` for filtering — it joins through `episodes_rowid_map`. If `episodes_rowid_map` is out of sync with `episodes` (due to a partial migration or corruption), BM25 hits may reference non-existent episodes.",Phase 12,Fix or quarantine with evidence and tests,superseded
BUG-113,Medium,Medium cross-cutting,"The pool `reader_timeout` warning threshold is hardcoded at `> 100ms`. There's no way to configure this threshold, and 100ms may be too tight for high-latency storage or testing environments.",Phase 12,Fix or quarantine with evidence and tests,superseded
BUG-114,Medium,Medium cross-cutting,"`load_vectors_from_sidecar` reads `id` as `u64` and casts to `usize`. On 32-bit platforms, IDs > `u32::MAX` will truncate silently. The HNSW sidecar format is not explicitly marked as platform-specific.",Phase 08,Fix or quarantine with evidence and tests,superseded
BUG-115,Medium,Medium cross-cutting,"`HNSW_DATA_MAGIC = 0xa67f0000` is checked once at the file header and once per vector entry. But the per-vector magic uses the same constant — if a file is truncated mid-vector, the partial bytes of the next entry might accidentally match the magic, causing a malformed read.",Phase 08,Fix or quarantine with evidence and tests,superseded
BUG-116,Medium,Medium cross-cutting,`MemoryStore::vacuum()` does not sync HNSW or check for pending ops before running VACUUM. SQLite VACUUM rewrites the database file; running it while HNSW pending ops exist leaves the database consistent but HNSW ops still pending.,Phase 09,Fix or quarantine with evidence and tests,superseded
BUG-117,Medium,Medium cross-cutting,"`MemoryStore::flush_hnsw()` acquires the writer connection after acquiring the HNSW read lock. This ordering (`hnsw_read` → `writer`) must be consistent everywhere to prevent deadlocks. `sync_pending_hnsw_sidecar` acquires writer first, then hnsw_write — a different order. If `flush_hnsw` and `sync_pending_hnsw_sidecar` run concurrently, there's a potential deadlock.",Phase 09,Fix or quarantine with evidence and tests,superseded
BUG-118,Medium,Medium cross-cutting,"`compact_hnsw` calls `needs_compaction()` inside a `read().unwrap_or_else(|e| e.into_inner())` guard, then drops it, then calls `rebuild_hnsw_index()` which acquires a write lock. TOCTOU: between the read check and the rebuild, more deletions could push the ratio higher, or enough inserts could bring it back below the threshold. The second re-check happens inside `rebuild_hnsw_index` implicitly (by rebuilding unconditionally once called). This is acceptable but worth documenting.",Phase 09,Fix or quarantine with evidence and tests,superseded
BUG-119,Medium,Medium cross-cutting,"`rebuild_hnsw_index` calls `hnsw_ops::rebuild_hnsw_from_sqlite` via `with_read_conn`, but the sqlite query for episodes uses `episode_id` while the HNSW key is formatted as `episode:{episode_id}` via `episodes::episode_item_key`. This is consistent, but adding a new embedding type (e.g., projection embeddings) would require updating rebuild in three places: `rebuild_hnsw_from_sqlite`, `sync_pending_hnsw_sidecar`, and the count queries in `open_with_embedder`. No single source of truth for ""all embeddable types.""",Phase 08,Fix or quarantine with evidence and tests,superseded
BUG-120,Medium,Medium cross-cutting,"`SqlitePool::open` does not close reader connections if any reader connection fails to open. For a pool with `max_read_connections = 4`, if connection 3 fails, connections 0, 1, 2 are leaked (their `Mutex<Connection>` is in `readers` but the pool never fully constructed).",Phase 09,Fix or quarantine with evidence and tests,superseded
BUG-121,Medium,Medium cross-cutting,"`configure_connection` sets `PRAGMA synchronous = NORMAL` without documentation of the durability tradeoff. Under `NORMAL` synchronous mode, SQLite may lose the last transaction on power loss (though WAL mode provides additional protection). This should be documented as a known durability caveat.",Phase 09,Fix or quarantine with evidence and tests,superseded
BUG-122,Medium,Medium cross-cutting,"`pool.with_read_conn` will block the calling OS thread indefinitely beyond the reader timeout if `available_cv.wait_timeout` returns spuriously and another wait loop iteration runs. The elapsed-time check uses `start.elapsed()` which correctly accumulates, so this eventually times out — but the check only happens after a `wait_timeout` call that may itself block for `reader_timeout` duration, meaning total wait can be `2 * reader_timeout`.",Phase 09,Fix or quarantine with evidence and tests,superseded
BUG-123,Medium,Medium cross-cutting,"`days_since` computes time in UTC via `chrono::Utc::now().naive_utc()` but parses timestamps with `NaiveDateTime::parse_from_str` without timezone information. This is consistent (both use naive UTC), but if the database was populated by a process in a non-UTC timezone using SQLite's `datetime('now', 'localtime')`, the recency scores will be off by the timezone offset.",Phase 09,Fix or quarantine with evidence and tests,superseded
BUG-124,Medium,Medium cross-cutting,`bm25_search` for messages fetches `m.session_id` and `m.role` but `role` is never used in the returned `Bm25Hit` or `SearchSource::Message`. It's fetched but immediately discarded.,Phase 12,Fix or quarantine with evidence and tests,superseded
BUG-125,Medium,Medium cross-cutting,"`knowledge_tests.rs`, `search_tests.rs`, and other test files (seen in the manifest) are in `/tests/` directories (integration tests), not `#[cfg(test)]` modules. This means any test helper that exposes test-only functionality (e.g., `raw_execute`) is gated by `#[cfg(any(test, feature = ""testing""))]`. If the `""testing""` feature is accidentally enabled in a production build, `raw_execute` is publicly accessible — a security risk for SQL injection.",Phase 12,Fix or quarantine with evidence and tests,superseded
BUG-126,Medium,Medium cross-cutting,"`TraceCtx::child()` clones the entire `baggage` Vec. For trace contexts with many baggage entries, this is O(N) in baggage entries on every child creation. Baggage is capped at 16 entries so this is bounded, but clone-heavy traces (deep span hierarchies) may accumulate non-trivial allocations.",Phase 12,Fix or quarantine with evidence and tests,superseded
BUG-127,Medium,Medium cross-cutting,"`defined_id! macro` implements `PartialOrd` and `Ord` via `#[derive]` on a `String` wrapper. String ordering is lexicographic byte order, which for UUIDs produces non-chronological ordering. Callers expecting chronological ordering from sorted ID collections will be surprised.",Phase 12,Fix or quarantine with evidence and tests,superseded
BUG-128,Medium,Medium cross-cutting,The `score: rrf_score` field of `SearchResult` can be `0.0` if both BM25 rank and vector rank are `None` and there is no recency score. A caller that filters `score > 0.0` will drop these results — but they shouldn't appear in the first place. The condition under which a result has no rank from either search path but still appears in output should be documented or guarded.,Phase 12,Fix or quarantine with evidence and tests,superseded
BUG-129,Medium,Medium cross-cutting,"`ScoreBreakdown.vector_reranked_from_f32` is always `false` in the code paths shown. The field exists but the reranking path that sets it to `true` was not audited. If the flag is always false, the field adds confusion.",Phase 12,Fix or quarantine with evidence and tests,superseded
BUG-130,Medium,Medium cross-cutting,"`apply_transition` on `ArtifactEnvelopeV1` calls `ArtifactTransitionReceiptV1::new(...)` which presumably validates the state transition. But `self.lifecycle_state = new_state` is set AFTER the receipt is created — if the receipt creation fails (returns `Err`), the lifecycle state is NOT updated. This is correct. But if the receipt creation succeeds and then a subsequent operation panics before the caller can persist the receipt, the in-memory envelope has a new state that doesn't match any stored receipt. No durability guarantee for in-memory transitions.",Phase 11,Fix or quarantine with evidence and tests,superseded
