warning: profiles for the non root package will be ignored, specify profiles at the workspace root:
package:   /home/sikmindz/work/dr-libraries-20260902/quant-governor/Cargo.toml
workspace: /home/sikmindz/work/dr-libraries-20260902/Cargo.toml
  Downloaded quick-xml v0.41.0
  Downloaded rand_chacha v0.3.1
  Downloaded rand_core v0.10.1
  Downloaded rawpointer v0.2.1
  Downloaded ref-cast-impl v1.0.27
  Downloaded reqwest v0.12.28
  Downloaded rustls v0.23.43
  Downloaded rusqlite v0.32.1
  Downloaded safe_arch v0.7.4
  Downloaded schemars v1.2.2
  Downloaded scratch v1.0.9
  Downloaded selectors v0.36.1
  Downloaded semver v1.0.28
  Downloaded serde_spanned v1.1.1
  Downloaded serde_urlencoded v0.7.1
  Downloaded sha2 v0.10.9
  Downloaded siphasher v1.0.3
  Downloaded sharded-slab v0.1.7
  Downloaded soup3 v0.5.0
  Downloaded string_cache_codegen v0.6.1
  Downloaded string_cache v0.9.0
  Downloaded syn v3.0.4
  Downloaded target-lexicon v0.13.5
  Downloaded thiserror v2.0.20
  Downloaded tauri-macros v2.6.3
  Downloaded tauri-runtime v2.11.3
  Downloaded thiserror-impl v1.0.69
  Downloaded tauri-runtime-wry v2.11.4
  Downloaded tinyvec_macros v0.1.1
  Downloaded tokio-util v0.7.19
  Downloaded toml v1.1.4+spec-1.1.0
  Downloaded tower-http v0.6.11
  Downloaded unicode-ident v1.0.24
  Downloaded try-lock v0.2.5
  Downloaded toml_edit v0.20.2
  Downloaded tracing v0.1.44
  Downloaded tray-icon v0.24.2
  Downloaded tungstenite v0.24.0
  Downloaded version-compare v0.2.1
  Downloaded url v2.5.8
  Downloaded urlpattern v0.3.0
  Downloaded vcpkg v0.2.15
  Downloaded version_check v0.9.5
  Downloaded embedded-io v0.6.1
  Downloaded uuid v1.25.0
  Downloaded walkdir v2.5.0
  Downloaded want v0.3.1
  Downloaded equivalent v1.0.2
  Downloaded erased-serde v0.4.10
  Downloaded errno v0.3.14
  Downloaded foreign-types-shared v0.1.1
  Downloaded futures v0.3.34
  Downloaded futures-channel v0.3.34
  Downloaded futures-executor v0.3.34
  Downloaded http v1.5.0
  Downloaded getrandom v0.2.17
  Downloaded hmac v0.12.1
  Downloaded futures-core v0.3.34
  Downloaded infer v0.19.0
  Downloaded getrandom v0.3.4
  Downloaded getrandom v0.4.3
  Downloaded gobject-sys v0.18.0
  Downloaded iana-time-zone v0.1.65
  Downloaded gpu-backend v0.1.0-alpha.2
  Downloaded html5ever v0.38.0
  Downloaded ico v0.5.0
  Downloaded gtk v0.18.2
  Downloaded itoa v1.0.18
  Downloaded hyper-util v0.1.20
  Downloaded embedded-io v0.4.0
  Downloaded encoding_rs v0.8.35
  Downloaded lazy_static v1.5.0
  Downloaded json-patch v3.0.1
  Downloaded libloading v0.7.4
  Downloaded llm-output-parser v0.2.0
  Downloaded lru-slab v0.1.2
  Downloaded markup5ever v0.38.0
  Downloaded phf_codegen v0.13.1
  Downloaded potential_utf v0.1.6
  Downloaded proc-macro2 v1.0.107
  Downloaded matchers v0.2.0
  Downloaded mime v0.3.17
  Downloaded num-traits v0.2.19
  Downloaded plist v1.10.0
  Downloaded rand v0.10.2
  Downloaded mio v1.2.2
  Downloaded memoffset v0.9.1
  Downloaded nalgebra v0.33.3
  Downloaded num-rational v0.4.2
  Downloaded quinn-proto v0.11.17
  Downloaded typeid v1.0.3
  Downloaded unic-char-property v0.9.0
  Downloaded zerofrom-derive v0.1.7
  Downloaded lock_api v0.4.14
  Downloaded muda v0.19.3
  Downloaded proc-macro-error v1.0.4
  Downloaded miniz_oxide v0.8.9
  Downloaded ulid v1.2.1
  Downloaded unic-char-range v0.9.0
  Downloaded zerofrom v0.1.8
  Downloaded zerovec-derive v0.11.6
  Downloaded zmij v1.0.23
  Downloaded num-bigint v0.4.8
  Downloaded rand v0.9.5
  Downloaded zeroize v1.9.0
  Downloaded log v0.4.34
  Downloaded openssl v0.10.81
  Downloaded quinn-udp v0.5.15
  Downloaded rand v0.8.7
  Downloaded memchr v2.8.3
  Downloaded usearch v2.26.1
  Downloaded x11 v2.21.0
  Downloaded zerocopy-derive v0.8.56
  Downloaded winnow v0.5.40
  Downloaded zerotrie v0.2.5
  Downloaded zerovec v0.11.8
  Downloaded typenum v1.20.1
  Downloaded wry v0.55.1
  Downloaded icu_normalizer_data v2.3.0
  Downloaded serde_spanned v0.6.9
  Downloaded generic-array v0.14.7
  Downloaded http-body-util v0.1.5
  Downloaded httparse v1.10.1
  Downloaded gio-sys v0.18.1
  Downloaded icu_properties v2.3.0
  Downloaded hashbrown v0.14.5
  Downloaded hashbrown v0.16.1
  Downloaded icu_properties_data v2.3.0
  Downloaded gio v0.18.4
  Downloaded futures-macro v0.3.34
  Downloaded num-integer v0.1.47
  Downloaded webkit2gtk v2.0.2
  Downloaded yoke-derive v0.8.2
  Downloaded futures-sink v0.3.34
  Downloaded pyo3-async-runtimes v0.29.0
  Downloaded yoke v0.8.3
  Downloaded form_urlencoded v1.2.2
  Downloaded http-body v1.1.0
  Downloaded phf_shared v0.13.1
  Downloaded pin-project-lite v0.2.17
  Downloaded utf-8 v0.7.6
  Downloaded utf8_iter v1.0.4
  Downloaded futures-io v0.3.34
  Downloaded fallible-iterator v0.3.0
  Downloaded field-offset v0.3.6
  Downloaded pango v0.18.3
  Downloaded web_atoms v0.2.6
  Downloaded fdeflate v0.3.7
  Downloaded javascriptcore-rs-sys v1.1.1
  Downloaded pyo3-ffi v0.29.2
  Downloaded x11-dl v2.21.0
  Downloaded fib-quant v0.1.0-beta.4
  Downloaded pastey v0.2.3
  Downloaded jiff v0.2.35
  Downloaded libdbus-sys v0.2.7
  Downloaded pyo3 v0.29.2
  Downloaded libsqlite3-sys v0.30.1
  Downloaded pango-sys v0.18.0
  Downloaded writeable v0.6.4
  Downloaded fastrand v2.5.0
  Downloaded find-msvc-tools v0.1.11
  Downloaded foldhash v0.2.0
  Downloaded fs2 v0.4.3
  Downloaded gdkx11 v0.18.2
  Downloaded ident_case v1.0.1
  Downloaded libappindicator v0.9.0
  Downloaded powerfmt v0.2.0
  Downloaded hex v0.4.3
  Downloaded jiff-core v0.1.0
  Downloaded utf8parse v0.2.2
  Downloaded hyper-tls v0.6.0
  Downloaded icu_locale_core v2.3.0
  Downloaded libappindicator-sys v0.9.0
  Downloaded precomputed-hash v0.1.1
  Downloaded gdkwayland-sys v0.18.2
  Downloaded heck v0.4.1
  Downloaded num-complex v0.4.6
  Downloaded unic-common v0.9.0
  Downloaded winnow v0.7.15
  Downloaded gdk v0.18.2
  Downloaded half v2.7.1
  Downloaded nu-ansi-term v0.50.3
  Downloaded phf v0.13.1
  Downloaded icu_provider v2.3.1
  Downloaded keyboard-types v0.7.0
  Downloaded nalgebra-macros v0.2.2
  Downloaded option-ext v0.2.0
  Downloaded pyo3-macros v0.29.2
  Downloaded wide v0.7.33
  Downloaded gdk-pixbuf-sys v0.18.0
  Downloaded glib v0.18.5
  Downloaded heck v0.5.0
  Downloaded link-cplusplus v1.0.12
  Downloaded openssl-probe v0.2.1
  Downloaded openssl-macros v0.1.1
  Downloaded proc-macro-crate v2.0.2
  Downloaded futures-task v0.3.34
  Downloaded gdkx11-sys v0.18.2
  Downloaded hyper-rustls v0.27.9
  Downloaded unic-ucd-ident v0.9.0
  Downloaded gtk3-macros v0.18.2
  Downloaded is_terminal_polyfill v1.70.2
  Downloaded proc-macro-crate v1.3.1
  Downloaded untrusted v0.9.0
  Downloaded fixedbitset v0.4.2
  Downloaded foreign-types v0.3.2
  Downloaded javascriptcore-rs v1.1.2
  Downloaded phf_macros v0.13.1
  Downloaded glib-sys v0.18.1
  Downloaded glib-macros v0.18.5
  Downloaded indexmap v1.9.3
  Downloaded paste v1.0.15
  Downloaded jsonptr v0.6.3
  Downloaded native-tls v0.2.18
  Downloaded flate2 v1.1.9
  Downloaded h2 v0.4.19
  Downloaded png v0.17.16
  Downloaded icu_collections v2.3.0
  Downloaded hashbrown v0.12.3
  Downloaded png v0.18.1
  Downloaded hyper v1.11.0
  Downloaded futures-util v0.3.34
  Downloaded winnow v1.0.4
  Downloaded zerocopy v0.8.56
  Downloaded unicode-width v0.2.2
  Downloaded icu_normalizer v2.3.0
  Downloaded petgraph v0.6.5
  Downloaded libc v0.2.189
  Downloaded linux-raw-sys v0.12.1
  Downloaded fnv v1.0.7
  Downloaded hashbrown v0.17.1
  Downloaded idna_adapter v1.2.2
  Downloaded quinn v0.11.11
  Downloaded gdk-pixbuf v0.18.5
  Downloaded gdk-sys v0.18.2
  Downloaded parking_lot_core v0.9.12
  Downloaded unic-ucd-version v0.9.0
  Downloaded indexmap v2.14.0
  Downloaded hashlink v0.9.1
  Downloaded unicase v2.9.0
  Downloaded glob v0.3.4
  Downloaded ipnet v2.12.1
  Downloaded unicode-segmentation v1.13.3
  Downloaded webkit2gtk-sys v2.0.2
  Downloaded idna v1.1.0
  Downloaded gtk-sys v0.18.2
  Downloaded webpki-roots v1.0.9
  Downloaded rand_pcg v0.10.2
  Downloaded serialize-to-javascript-impl v0.1.2
  Downloaded rustc_version v0.4.1
  Downloaded rand_core v0.6.4
  Downloaded raw-window-handle v0.6.2
  Downloaded rand_distr v0.4.3
  Downloaded serde_derive_internals v0.30.0
  Downloaded serialize-to-javascript v0.1.2
  Downloaded same-file v1.0.6
  Downloaded servo_arc v0.4.3
  Downloaded regex v1.13.1
  Downloaded ryu v1.0.23
  Downloaded rand_core v0.9.5
  Downloaded schemars_derive v1.2.2
  Downloaded ref-cast v1.0.27
  Downloaded serde-untagged v0.1.9
  Downloaded rustc-hash v2.1.3
  Downloaded serde_repr v0.1.21
  Downloaded serde_derive v1.0.229
  Downloaded scopeguard v1.2.0
  Downloaded rand_chacha v0.9.0
  Downloaded serde_derive_internals v0.29.1
  Downloaded rmcp-macros v1.8.0
  Downloaded schemars_derive v0.8.22
  Downloaded rustls-pki-types v1.15.1
  Downloaded schemars v0.8.22
  Downloaded serde_core v1.0.229
  Downloaded serde_json v1.0.151
  Downloaded serde_with v3.22.0
  Downloaded schemars v0.9.0
  Downloaded serde_with_macros v3.22.0
  Downloaded rayon-core v1.13.0
  Downloaded rustls-webpki v0.103.15
  Downloaded serde v1.0.229
  Downloaded rayon v1.12.0
  Downloaded regex-syntax v0.8.11
  Downloaded rmcp v1.8.0
  Downloaded rustix v1.1.4
  Downloaded regex-automata v0.4.18
  Downloaded ring v0.17.14
  Downloaded stable_deref_trait v1.2.1
  Downloaded time-core v0.1.9
  Downloaded time-macros v0.2.32
  Downloaded tinystr v0.8.4
  Downloaded sha1 v0.10.6
  Downloaded tinyvec v1.12.0
  Downloaded simd-adler32 v0.3.10
  Downloaded sync_wrapper v1.0.2
  Downloaded thiserror v1.0.69
  Downloaded tokio-native-tls v0.3.1
  Downloaded system-deps v6.2.2
  Downloaded subtle v2.6.1
  Downloaded tokio-macros v2.7.2
  Downloaded tokio-tungstenite v0.24.0
  Downloaded signal-hook-registry v1.4.8
  Downloaded strsim v0.11.1
  Downloaded soup3-sys v0.5.0
  Downloaded thiserror-impl v2.0.20
  Downloaded slab v0.4.12
  Downloaded tokio-rustls v0.26.4
  Downloaded tauri-build v2.6.3
  Downloaded tempfile v3.27.0
  Downloaded thread_local v1.1.10
  Downloaded shlex v2.0.1
  Downloaded synstructure v0.13.2
  Downloaded target-lexicon v0.12.16
  Downloaded tauri-codegen v2.6.3
  Downloaded simba v0.8.1
  Downloaded socket2 v0.6.5
  Downloaded termcolor v1.4.1
  Downloaded tauri-winres v0.3.6
  Downloaded tendril v0.5.1
  Downloaded smallvec v1.15.2
  Downloaded simba v0.9.1
  Downloaded similar v2.7.0
  Downloaded toml v0.8.2
  Downloaded statrs v0.17.1
  Downloaded tauri-utils v2.9.3
  Downloaded syn v1.0.109
  Downloaded time v0.3.55
  Downloaded tauri v2.11.5
  Downloaded syn v2.0.119
  Downloaded tao v0.35.3
  Downloaded tower-layer v0.3.3
  Downloaded fallible-streaming-iterator v0.1.9
  Downloaded toml_datetime v0.6.3
  Downloaded tower-service v0.3.3
  Downloaded toml_datetime v0.7.5+spec-1.1.0
  Downloaded toml_datetime v1.1.1+spec-1.1.0
  Downloaded tracing-log v0.2.0
  Downloaded toml_writer v1.1.2+spec-1.1.0
  Downloaded toml_parser v1.1.3+spec-1.1.0
  Downloaded tracing-attributes v0.1.31
  Downloaded toml v0.9.12+spec-1.1.0
  Downloaded tracing-core v0.1.36
  Downloaded toml_edit v0.19.15
  Downloaded pyo3-macros-backend v0.29.2
  Downloaded tower v0.5.3
  Downloaded tracing-subscriber v0.3.23
  Downloaded tokio v1.53.1
   Compiling stack-monitor-desktop v0.1.0 (/home/sikmindz/work/dr-libraries-20260902/stack-monitor-desktop)
    Finished `dev` profile [unoptimized + debuginfo] target(s) in 2.99s
