id,pass,priority,title,crates,acceptance,proof
AIDENS-P04-05,P04,P0,"Add policy tests for hidden, blocked, declared-not-registered, registered-not-executable, and permit-required cases.","aidens-tool-kit, aidens-permit-kit, aidens-security-kit, aidens-contracts, aidens-cli","list-tools and inspect-tools distinguish declared, registered, executable, exposed, hidden, blocked.; Side-effect tools cannot be exposed or invoked without permit; denial includes ApprovalRequestV1 or reason code.",tests + receipts + docs + command output
AIDENS-P05-01,P05,P0,"Use canonical library receipt payloads with a durable AiDENs receipt log/sink.","aidens-receipts, aidens-contracts, aidens-cli, aidens-runner, aidens-daemon-kit",A run can be inspected after process restart via durable store.; Receipt digests are stable across pretty/compact JSON representation.,tests + receipts + docs + command output
AIDENS-P05-02,P05,P0,Implement durable NDJSON receipt store first; design SQLite store behind same trait.,"aidens-receipts, aidens-contracts, aidens-cli, aidens-runner, aidens-daemon-kit",A run can be inspected after process restart via durable store.; Receipt digests are stable across pretty/compact JSON representation.,tests + receipts + docs + command output
AIDENS-P05-03,P05,P0,Add same-transaction outbox abstraction for future SQLite domain mutations.,"aidens-receipts, aidens-contracts, aidens-cli, aidens-runner, aidens-daemon-kit",A run can be inspected after process restart via durable store.; Receipt digests are stable across pretty/compact JSON representation.,tests + receipts + docs + command output
AIDENS-P05-04,P05,P0,"Add CLI: receipts list, receipts inspect, receipts export, receipts verify-digest.","aidens-receipts, aidens-contracts, aidens-cli, aidens-runner, aidens-daemon-kit",A run can be inspected after process restart via durable store.; Receipt digests are stable across pretty/compact JSON representation.,tests + receipts + docs + command output
AIDENS-P05-05,P05,P0,"Link RunReportV1, provider/tool/control canonical receipts, boundary repair receipts, permit receipts, and future queue records without local canonical receipt truth.","aidens-receipts, aidens-contracts, aidens-cli, aidens-runner, aidens-daemon-kit",A run can be inspected after process restart via durable store.; Canonical receipt digests are stable across pretty/compact JSON representation.,tests + receipts + docs + command output
AIDENS-P06-01,P06,P1,"Declare accepted dialects: strict-json, json-schema-2020-12, rfc8785-canonical-json.","aidens-boundary-kit, aidens-contracts, aidens-cli, aidens-testkit",Duplicate-key fixture is rejected with DuplicateKeyFindingV1.; Schema-invalid tool input is blocked before invocation and emits SchemaValidationReceiptV1.,tests + receipts + docs + command output
AIDENS-P06-02,P06,P1,Reject duplicate keys and non-finite numbers where JSON semantics are ambiguous.,"aidens-boundary-kit, aidens-contracts, aidens-cli, aidens-testkit",Duplicate-key fixture is rejected with DuplicateKeyFindingV1.; Schema-invalid tool input is blocked before invocation and emits SchemaValidationReceiptV1.,tests + receipts + docs + command output
AIDENS-P06-03,P06,P1,Add schema validation using generated schemas; validate schema documents against meta-schema.,"aidens-boundary-kit, aidens-contracts, aidens-cli, aidens-testkit",Duplicate-key fixture is rejected with DuplicateKeyFindingV1.; Schema-invalid tool input is blocked before invocation and emits SchemaValidationReceiptV1.,tests + receipts + docs + command output
AIDENS-P06-04,P06,P1,Replace FNV-1a with cryptographic digest over RFC8785/JCS-style canonical JSON or a deterministic canonicalizer with declared limits.,"aidens-boundary-kit, aidens-contracts, aidens-cli, aidens-testkit",Duplicate-key fixture is rejected with DuplicateKeyFindingV1.; Schema-invalid tool input is blocked before invocation and emits SchemaValidationReceiptV1.,tests + receipts + docs + command output
AIDENS-P06-05,P06,P1,"Turn markdown-fence and substring repair into bounded, policy-controlled repair classes with before/after digests.","aidens-boundary-kit, aidens-contracts, aidens-cli, aidens-testkit",Duplicate-key fixture is rejected with DuplicateKeyFindingV1.; Schema-invalid tool input is blocked before invocation and emits SchemaValidationReceiptV1.,tests + receipts + docs + command output
AIDENS-P07-01,P07,P1,Add schema generation command for every public artifact family.,"aidens-contracts, aidens-cli, workspace root, schemas",cargo run -p aidens-cli -- schemas generate creates deterministic schema files.; schemas check fails on unregistered artifact family or incompatible breaking change without major bump.,tests + receipts + docs + command output
AIDENS-P07-02,P07,P1,Generate schemas into schemas/<family>/<version>.schema.json plus manifest.,"aidens-contracts, aidens-cli, workspace root, schemas",cargo run -p aidens-cli -- schemas generate creates deterministic schema files.; schemas check fails on unregistered artifact family or incompatible breaking change without major bump.,tests + receipts + docs + command output
AIDENS-P07-03,P07,P1,Add golden JSON fixtures for each artifact type and ensure serde round-trip.,"aidens-contracts, aidens-cli, workspace root, schemas",cargo run -p aidens-cli -- schemas generate creates deterministic schema files.; schemas check fails on unregistered artifact family or incompatible breaking change without major bump.,tests + receipts + docs + command output
AIDENS-P07-04,P07,P1,"Add schema compatibility checks: backward, forward, full, transitive for selected families.","aidens-contracts, aidens-cli, workspace root, schemas",cargo run -p aidens-cli -- schemas generate creates deterministic schema files.; schemas check fails on unregistered artifact family or incompatible breaking change without major bump.,tests + receipts + docs + command output
AIDENS-P07-05,P07,P1,Adopt expand/backfill/flip-read/contract migration law for persistent stores.,"aidens-contracts, aidens-cli, workspace root, schemas",cargo run -p aidens-cli -- schemas generate creates deterministic schema files.; schemas check fails on unregistered artifact family or incompatible breaking change without major bump.,tests + receipts + docs + command output
AIDENS-P08-01,P08,P1,"Create aidens-testkit reference modules for plan->exposure, provider route, permit, boundary repair, and receipt lineage.","aidens-testkit, aidens-config, aidens-tool-kit, aidens-permit-kit, aidens-boundary-kit, aidens-receipts","Reference fixtures cover all provider kinds, risk classes, memory modes, receipt levels, and tool lifecycle states.; Any production/reference mismatch fails tests with human-readable diff.",tests + receipts + docs + command output
AIDENS-P08-02,P08,P1,Add golden fixtures in tests/fixtures/reference/*.json.,"aidens-testkit, aidens-config, aidens-tool-kit, aidens-permit-kit, aidens-boundary-kit, aidens-receipts","Reference fixtures cover all provider kinds, risk classes, memory modes, receipt levels, and tool lifecycle states.; Any production/reference mismatch fails tests with human-readable diff.",tests + receipts + docs + command output
AIDENS-P08-03,P08,P1,Compare production implementations against reference for each fixture.,"aidens-testkit, aidens-config, aidens-tool-kit, aidens-permit-kit, aidens-boundary-kit, aidens-receipts","Reference fixtures cover all provider kinds, risk classes, memory modes, receipt levels, and tool lifecycle states.; Any production/reference mismatch fails tests with human-readable diff.",tests + receipts + docs + command output
AIDENS-P08-04,P08,P1,Add property tests for exposure monotonicity: adding permissions may expose more tools; removing permissions cannot expose more.,"aidens-testkit, aidens-config, aidens-tool-kit, aidens-permit-kit, aidens-boundary-kit, aidens-receipts","Reference fixtures cover all provider kinds, risk classes, memory modes, receipt levels, and tool lifecycle states.; Any production/reference mismatch fails tests with human-readable diff.",tests + receipts + docs + command output
AIDENS-P08-05,P08,P1,Add regression conversion path for any discovered counterexample.,"aidens-testkit, aidens-config, aidens-tool-kit, aidens-permit-kit, aidens-boundary-kit, aidens-receipts","Reference fixtures cover all provider kinds, risk classes, memory modes, receipt levels, and tool lifecycle states.; Any production/reference mismatch fails tests with human-readable diff.",tests + receipts + docs + command output
AIDENS-P09-01,P09,P1,Define episode/evidence/claim IDs and bitemporal coordinates: valid_from/valid_to and recorded_from/recorded_to.,"aidens-memory-kit, aidens-contracts, aidens-receipts, aidens-boundary-kit, aidens-cli","Can insert a claim, supersede it retroactively, and answer both “what was true at valid time V” and “what did we believe at recorded time R”.; MemoryRequired app fails doctor/run if no memory store is configured.",tests + receipts + docs + command output
AIDENS-P09-02,P09,P1,Implement append-plus-supersession in SQLite or a feature-gated durable store; no in-place truth rewrite.,"aidens-memory-kit, aidens-contracts, aidens-receipts, aidens-boundary-kit, aidens-cli","Can insert a claim, supersede it retroactively, and answer both “what was true at valid time V” and “what did we believe at recorded time R”.; MemoryRequired app fails doctor/run if no memory store is configured.",tests + receipts + docs + command output
AIDENS-P09-03,P09,P1,"Call semantic-memory-forge EpisodeBundleV1 and canonical runtime query APIs: by episode, by claim, as_of(valid_t, recorded_t).","aidens-memory-kit, aidens-contracts, aidens-receipts, aidens-boundary-kit, aidens-cli","Can insert a claim through canonical memory crates, supersede it retroactively, and answer both “what was true at valid time V” and “what did we believe at recorded time R”.; MemoryRequired app fails doctor/run if no memory store is configured.",tests + receipts + docs + command output
AIDENS-P09-04,P09,P1,Make MemoryMode::Required require configured durable memory; Optional reports degraded if absent.,"aidens-memory-kit, aidens-contracts, aidens-receipts, aidens-boundary-kit, aidens-cli","Can insert a claim, supersede it retroactively, and answer both “what was true at valid time V” and “what did we believe at recorded time R”.; MemoryRequired app fails doctor/run if no memory store is configured.",tests + receipts + docs + command output
AIDENS-P09-05,P09,P1,Emit memory write/query receipts linked to execution context.,"aidens-memory-kit, aidens-contracts, aidens-receipts, aidens-boundary-kit, aidens-cli","Can insert a claim, supersede it retroactively, and answer both “what was true at valid time V” and “what did we believe at recorded time R”.; MemoryRequired app fails doctor/run if no memory store is configured.",tests + receipts + docs + command output
AIDENS-P10-01,P10,P1,"Add repo-list, file-stat, grep/search, patch-propose, patch-apply-with-permit, and run-checks tools.","aidens-tool-kit, aidens-security-kit, aidens-permit-kit, aidens-runner, aidens-cli, aidens-profile-coding","Coding profile can read repo, propose a patch, request approval, apply patch after permit, and run cargo checks with receipts.; Attempted path traversal/sensitive prefix access fails with receipt.",tests + receipts + docs + command output
AIDENS-P10-02,P10,P1,"Implement sandbox truth: root path, denied prefixes, symlink policy, env filtering, network policy, process timeout.","aidens-tool-kit, aidens-security-kit, aidens-permit-kit, aidens-runner, aidens-cli, aidens-profile-coding","Coding profile can read repo, propose a patch, request approval, apply patch after permit, and run cargo checks with receipts.; Attempted path traversal/sensitive prefix access fails with receipt.",tests + receipts + docs + command output
AIDENS-P10-03,P10,P1,Patch proposal must be non-mutating; patch apply requires permit and writes patch receipt.,"aidens-tool-kit, aidens-security-kit, aidens-permit-kit, aidens-runner, aidens-cli, aidens-profile-coding","Coding profile can read repo, propose a patch, request approval, apply patch after permit, and run cargo checks with receipts.; Attempted path traversal/sensitive prefix access fails with receipt.",tests + receipts + docs + command output
AIDENS-P10-04,P10,P1,run-checks must execute only allowed commands from config/policy and capture stdout/stderr digests.,"aidens-tool-kit, aidens-security-kit, aidens-permit-kit, aidens-runner, aidens-cli, aidens-profile-coding","Coding profile can read repo, propose a patch, request approval, apply patch after permit, and run cargo checks with receipts.; Attempted path traversal/sensitive prefix access fails with receipt.",tests + receipts + docs + command output
AIDENS-P10-05,P10,P1,"Generate CodexPacketV1 with current issue, source map, commands run, receipts, unresolved blockers, and next pass pointer.","aidens-tool-kit, aidens-security-kit, aidens-permit-kit, aidens-runner, aidens-cli, aidens-profile-coding","Coding profile can read repo, propose a patch, request approval, apply patch after permit, and run cargo checks with receipts.; Attempted path traversal/sensitive prefix access fails with receipt.",tests + receipts + docs + command output
AIDENS-P11-01,P11,P1,"Define durable job identity, idempotency key, attempt family, lease owner, lease expiry, and occurrence key.","aidens-queue-kit, aidens-schedule-kit, aidens-wake-kit, aidens-daemon-kit, aidens-receipts, aidens-contracts, aidens-cli",Repeated same schedule occurrence cannot create duplicate logical jobs.; Daemon restart preserves queued jobs and does not resurrect cancelled jobs.,tests + receipts + docs + command output
AIDENS-P11-02,P11,P1,Implement one daemon-owned write queue and read-only CLI/UI observers.,"aidens-queue-kit, aidens-schedule-kit, aidens-wake-kit, aidens-daemon-kit, aidens-receipts, aidens-contracts, aidens-cli",Repeated same schedule occurrence cannot create duplicate logical jobs.; Daemon restart preserves queued jobs and does not resurrect cancelled jobs.,tests + receipts + docs + command output
AIDENS-P11-03,P11,P1,"Add safe mode, queue drain, cancellation, lease steal after expiry, and poison job quarantine.","aidens-queue-kit, aidens-schedule-kit, aidens-wake-kit, aidens-daemon-kit, aidens-receipts, aidens-contracts, aidens-cli",Repeated same schedule occurrence cannot create duplicate logical jobs.; Daemon restart preserves queued jobs and does not resurrect cancelled jobs.,tests + receipts + docs + command output
AIDENS-P11-04,P11,P1,"Emit receipts for enqueue, dequeue, lease-acquire, execute, retry, cancel, duplicate-suppressed, and safe-mode transitions.","aidens-queue-kit, aidens-schedule-kit, aidens-wake-kit, aidens-daemon-kit, aidens-receipts, aidens-contracts, aidens-cli",Repeated same schedule occurrence cannot create duplicate logical jobs.; Daemon restart preserves queued jobs and does not resurrect cancelled jobs.,tests + receipts + docs + command output
AIDENS-P11-05,P11,P1,"Add model-check-inspired regression tests for duplicate schedule occurrence, crash/restart, lease expiry, and cancellation resurrection.","aidens-queue-kit, aidens-schedule-kit, aidens-wake-kit, aidens-daemon-kit, aidens-receipts, aidens-contracts, aidens-cli",Repeated same schedule occurrence cannot create duplicate logical jobs.; Daemon restart preserves queued jobs and does not resurrect cancelled jobs.,tests + receipts + docs + command output
AIDENS-P12-01,P12,P1,Route risk-bearing verification through canonical verification-control and policy plans.,"aidens-governance-kit, aidens-repair-kit, aidens-arbiter-kit, aidens-contracts, aidens-memory-kit, aidens-receipts",Risk-bearing claims use canonical VerificationCase/CheckPlan/ControlReceipt; AiDENs defines no local verification-plan truth.,tests + receipts + docs + command output
AIDENS-P12-02,P12,P1,Use Forge evidence bundles and canonical verification attempts for evidence/refutation.,"aidens-governance-kit, aidens-repair-kit, aidens-arbiter-kit, aidens-contracts, aidens-memory-kit, aidens-receipts",Evidence/refutation semantics come from Forge and verification crates; AiDENs adapters do not mint local evidence DTOs.,tests + receipts + docs + command output
AIDENS-P12-03,P12,P1,Use Forge contradiction witnesses rather than local contradiction state machines.,"aidens-governance-kit, aidens-repair-kit, aidens-arbiter-kit, aidens-contracts, aidens-memory-kit, aidens-receipts",Contradiction validation uses canonical ContradictionWitnessV1 and never overwrites memory directly.,tests + receipts + docs + command output
AIDENS-P12-04,P12,P1,Emit canonical repair records from verification-control/Forge repair artifacts.,"aidens-governance-kit, aidens-repair-kit, aidens-arbiter-kit, aidens-contracts, aidens-memory-kit, aidens-receipts",Repair lineage uses BoundaryRepairRecord or Forge retraction records not AiDENs-owned repair truth.,tests + receipts + docs + command output
AIDENS-P12-05,P12,P1,Use canonical promotion/adjudication decisions and control receipts; no output self-promotes.,"aidens-governance-kit, aidens-repair-kit, aidens-arbiter-kit, aidens-contracts, aidens-memory-kit, aidens-receipts",Promotion and governance decisions come from verification-adjudication/control with AiDENs as caller only.,tests + receipts + docs + command output
AIDENS-P13-01,P13,P1,"Define view modes: semantic, temporal, entity, causal, control, execution, combined-with-disclosure.","aidens-runner, aidens-memory-kit, aidens-contracts, aidens-cli, aidens-governance-kit",A time-scoped query cannot silently fall back to timeless retrieval.; Alias expansion/widening emits QueryWideningReceiptV1.,tests + receipts + docs + command output
AIDENS-P13-02,P13,P1,"Every query must state valid/recorded time behavior, identity expansion policy, scope, and widening/fallback rules.","aidens-runner, aidens-memory-kit, aidens-contracts, aidens-cli, aidens-governance-kit",A time-scoped query cannot silently fall back to timeless retrieval.; Alias expansion/widening emits QueryWideningReceiptV1.,tests + receipts + docs + command output
AIDENS-P13-03,P13,P1,"Add disclosure receipts when retrieval widens entity aliases, time windows, scope, or fallback index.","aidens-runner, aidens-memory-kit, aidens-contracts, aidens-cli, aidens-governance-kit",A time-scoped query cannot silently fall back to timeless retrieval.; Alias expansion/widening emits QueryWideningReceiptV1.,tests + receipts + docs + command output
AIDENS-P13-04,P13,P1,Separate projections/caches from authoritative memory with rebuild-from-source tests.,"aidens-runner, aidens-memory-kit, aidens-contracts, aidens-cli, aidens-governance-kit",A time-scoped query cannot silently fall back to timeless retrieval.; Alias expansion/widening emits QueryWideningReceiptV1.,tests + receipts + docs + command output
AIDENS-P13-05,P13,P1,CLI query commands must print view mode and degradation reason before result details.,"aidens-runner, aidens-memory-kit, aidens-contracts, aidens-cli, aidens-governance-kit",A time-scoped query cannot silently fall back to timeless retrieval.; Alias expansion/widening emits QueryWideningReceiptV1.,tests + receipts + docs + command output
AIDENS-P14-01,P14,P2,"Update examples for chat-only, coding, memory, daemon, and research profiles; mark unsupported advanced features honestly.","aidens-cli, aidens-app-kit, aidens, docs, examples, CI","A new user can create an app, run provider-check, inspect tools, run mock turn, inspect receipts, and run verify.sh.; Release readiness report blocks if any public docs claim a scaffolded crate is complete.",tests + receipts + docs + command output
AIDENS-P14-02,P14,P2,"Add commands: status, doctor, receipts, schemas, memory, queue, permits, run, tools, provider-check, package.","aidens-cli, aidens-app-kit, aidens, docs, examples, CI","A new user can create an app, run provider-check, inspect tools, run mock turn, inspect receipts, and run verify.sh.; Release readiness report blocks if any public docs claim a scaffolded crate is complete.",tests + receipts + docs + command output
AIDENS-P14-03,P14,P2,"Add end-to-end smoke scripts for disabled, mock, ollama, and one API provider fixture path.","aidens-cli, aidens-app-kit, aidens, docs, examples, CI","A new user can create an app, run provider-check, inspect tools, run mock turn, inspect receipts, and run verify.sh.; Release readiness report blocks if any public docs claim a scaffolded crate is complete.",tests + receipts + docs + command output
AIDENS-P14-04,P14,P2,Produce release readiness report with supported/partial/deferred matrix.,"aidens-cli, aidens-app-kit, aidens, docs, examples, CI","A new user can create an app, run provider-check, inspect tools, run mock turn, inspect receipts, and run verify.sh.; Release readiness report blocks if any public docs claim a scaffolded crate is complete.",tests + receipts + docs + command output
AIDENS-P14-05,P14,P2,Ensure README quickstart has no impossible command or unsupported feature claim.,"aidens-cli, aidens-app-kit, aidens, docs, examples, CI","A new user can create an app, run provider-check, inspect tools, run mock turn, inspect receipts, and run verify.sh.; Release readiness report blocks if any public docs claim a scaffolded crate is complete.",tests + receipts + docs + command output
AIDENS-P15-01,P15,P2,"Define distinct graph kinds: storage, retrieval, inference, repair, control. Forbid using storage graph directly as inference graph.","aidens-kernel-kit, aidens-repair-kit, aidens-memory-kit, aidens-contracts, aidens-receipts",A synthetic contradiction emits SyndromeV1 and local repair candidate instead of global recompute.; Loopy propagation with non-convergence emits ConvergenceReportV1 and degraded state.,tests + receipts + docs + command output
AIDENS-P15-02,P15,P2,"Compile small regions from memory/projection evidence with typed node, edge, hyperedge, factor, nuisance, and boundary definitions.","aidens-kernel-kit, aidens-repair-kit, aidens-memory-kit, aidens-contracts, aidens-receipts",A synthetic contradiction emits SyndromeV1 and local repair candidate instead of global recompute.; Loopy propagation with non-convergence emits ConvergenceReportV1 and degraded state.,tests + receipts + docs + command output
AIDENS-P15-03,P15,P2,"Implement bounded message passing with damping, residual threshold, iteration cap, and oscillation receipt.","aidens-kernel-kit, aidens-repair-kit, aidens-memory-kit, aidens-contracts, aidens-receipts",A synthetic contradiction emits SyndromeV1 and local repair candidate instead of global recompute.; Loopy propagation with non-convergence emits ConvergenceReportV1 and degraded state.,tests + receipts + docs + command output
AIDENS-P15-04,P15,P2,Add exact-on-small oracle slice for small acyclic/low-treewidth regions or deterministic constraint subsets.,"aidens-kernel-kit, aidens-repair-kit, aidens-memory-kit, aidens-contracts, aidens-receipts",A synthetic contradiction emits SyndromeV1 and local repair candidate instead of global recompute.; Loopy propagation with non-convergence emits ConvergenceReportV1 and degraded state.,tests + receipts + docs + command output
AIDENS-P15-05,P15,P2,Route contradictions by syndrome to local repair before global rebuild.,"aidens-kernel-kit, aidens-repair-kit, aidens-memory-kit, aidens-contracts, aidens-receipts",A synthetic contradiction emits SyndromeV1 and local repair candidate instead of global recompute.; Loopy propagation with non-convergence emits ConvergenceReportV1 and degraded state.,tests + receipts + docs + command output
