id,source,severity,phase,title,location,required_resolution,acceptance_signal
C14,Claude hard audit,P2,P28-01 Immediate bugfix and test coverage,"ProviderBackendMatrixV1::entry_for() normalizes only the lookup key, not the stored key",`aidens-contracts/src/lib.rs:534`,"Fix code and add regression test; if not fixed, quarantine with proof debt and explicit release blocker.",cargo test + targeted regression + P28 evidence manifest entry
C15,Claude hard audit,P1,P28-08 Tool/patch/sandbox hardening,ToolRegistryV1::register_enabled_with_repo_read_dispatcher() replaces self.sandbox_root,`tool-kit/src/lib.rs:244`,"Fix code and add regression test; if not fixed, quarantine with proof debt and explicit release blocker.",cargo test + targeted regression + P28 evidence manifest entry
C16,Claude hard audit,P1,P28-08 Tool/patch/sandbox hardening,ToolExposurePolicyV1::coding_agent_default() includes CanonicalToolSideEffectClass::Analysis in allowed risk classes,`tool-kit/src/lib.rs:81`,"Fix code and add regression test; if not fixed, quarantine with proof debt and explicit release blocker.",cargo test + targeted regression + P28 evidence manifest entry
C17,Claude hard audit,P2,P28-01 Immediate bugfix and test coverage,"AiDENsApp::run() calls run_once(""doctor-run"") and prints the output",,"Fix code and add regression test; if not fixed, quarantine with proof debt and explicit release blocker.",cargo test + targeted regression + P28 evidence manifest entry
C18,Claude hard audit,P2,P28-01 Immediate bugfix and test coverage,ToolCallResultV1::output_text() has fragile output extraction,`aidens-contracts/src/lib.rs:1447`,"Fix code and add regression test; if not fixed, quarantine with proof debt and explicit release blocker.",cargo test + targeted regression + P28 evidence manifest entry
C19,Claude hard audit,P1,P28-03 Execution context and receipts,TurnReportV1::started() initializes final_state to StopRuleTriggered,`aidens-contracts/src/lib.rs:1605`,"Fix code and add regression test; if not fixed, quarantine with proof debt and explicit release blocker.",cargo test + targeted regression + P28 evidence manifest entry
C20,Claude hard audit,P1,P28-03 Execution context and receipts,RunReportV1 embeds full ToolCallRequestV1 and ToolInvocationReportV1 inline,`aidens-contracts/src/lib.rs:1469`,"Fix code and add regression test; if not fixed, quarantine with proof debt and explicit release blocker.",cargo test + targeted regression + P28 evidence manifest entry
C21,Claude hard audit,P1,P28-03 Execution context and receipts,run_command_with_timeout polls with a busy-loop at 20 ms intervals,`tool-kit/src/lib.rs:1391`,"Fix code and add regression test; if not fixed, quarantine with proof debt and explicit release blocker. Include hostile/symlink/sandbox regression where applicable.",cargo test + targeted regression + P28 evidence manifest entry
C22,Claude hard audit,P1,P28-03 Execution context and receipts,run_command_with_timeout after timeout does child.kill() then wait_with_output(),`tool-kit/src/lib.rs:1407`,"Fix code and add regression test; if not fixed, quarantine with proof debt and explicit release blocker. Include hostile/symlink/sandbox regression where applicable.",cargo test + targeted regression + P28 evidence manifest entry
C23,Claude hard audit,P1,P28-03 Execution context and receipts,command_is_allowed_check allowlist is too narrow but provides false security,`tool-kit/src/lib.rs:1717`,"Fix code and add regression test; if not fixed, quarantine with proof debt and explicit release blocker. Include hostile/symlink/sandbox regression where applicable.",cargo test + targeted regression + P28 evidence manifest entry
C24,Claude hard audit,P0,P28-08 Tool/patch/sandbox hardening,patch_apply creates parent directories unconditionally before writing,`tool-kit/src/lib.rs:1285`,Must fix or explicitly quarantine before P28 final package; no support-tier uplift if open. Include hostile/symlink/sandbox regression where applicable.,cargo test + targeted regression + P28 evidence manifest entry
C25,Claude hard audit,P0,P28-08 Tool/patch/sandbox hardening,resolve_target_sandboxed_path does not prevent creating new files that escape via symlink,`tool-kit/src/lib.rs:1470`,Must fix or explicitly quarantine before P28 final package; no support-tier uplift if open. Include hostile/symlink/sandbox regression where applicable.,cargo test + targeted regression + P28 evidence manifest entry
C26,Claude hard audit,P2,P28-01 Immediate bugfix and test coverage,Excessive cloning in hot paths,,"Fix code and add regression test; if not fixed, quarantine with proof debt and explicit release blocker.",cargo test + targeted regression + P28 evidence manifest entry
C27,Claude hard audit,P1,P28-01 Immediate bugfix and test coverage,generated_schema_documents_inner() materializes all schemas every time it is called,`aidens-contracts/src/schema_catalog.rs`,"Fix code and add regression test; if not fixed, quarantine with proof debt and explicit release blocker.",cargo test + targeted regression + P28 evidence manifest entry
C28,Claude hard audit,P1,P28-08 Tool/patch/sandbox hardening,repo_search collects an unbounded recursive directory traversal,`tool-kit/src/lib.rs:1516`,"Fix code and add regression test; if not fixed, quarantine with proof debt and explicit release blocker.",cargo test + targeted regression + P28 evidence manifest entry
C29,Claude hard audit,P1,P28-04 Schema/contract governance,ArtifactKindV1 does not derive JsonSchema normally; a custom impl returns a bare string schema,`aidens-contracts/src/lib.rs`,"Fix code and add regression test; if not fixed, quarantine with proof debt and explicit release blocker.",cargo test + targeted regression + P28 evidence manifest entry
C30,Claude hard audit,P1,P28-01 Immediate bugfix and test coverage,ToolAttemptReportV1 is a type alias for ToolInvocationReportV1,`aidens-contracts/src/lib.rs:1520`,"Fix code and add regression test; if not fixed, quarantine with proof debt and explicit release blocker.",cargo test + targeted regression + P28 evidence manifest entry
C31,Claude hard audit,P1,P28-04 Schema/contract governance,ToolExposurePlanV2 = ToolExposurePlanV1 and ToolExposureSetV1 = ToolExposurePlanV1,`aidens-contracts/src/lib.rs`,"Fix code and add regression test; if not fixed, quarantine with proof debt and explicit release blocker.",cargo test + targeted regression + P28 evidence manifest entry
C32,Claude hard audit,P0,P28-02 Identity/digest/package truth,generated_artifact_id() uses Uuid::new_v4() (random),`aidens-contracts/src/lib.rs:71`,Must fix or explicitly quarantine before P28 final package; no support-tier uplift if open.,cargo test + targeted regression + P28 evidence manifest entry
C33,Claude hard audit,P1,P28-02 Identity/digest/package truth,"MigrationPlanV1 uses a hardcoded ArtifactId(""migration-plan:v1"")",`aidens-contracts/src/schema_catalog.rs`,"Fix code and add regression test; if not fixed, quarantine with proof debt and explicit release blocker.",cargo test + targeted regression + P28 evidence manifest entry
C34,Claude hard audit,P1,P28-02 Identity/digest/package truth,"SchemaCompatibilityReportV1 uses a hardcoded ArtifactId(""schema-compatibility-report:v1"")",,"Fix code and add regression test; if not fixed, quarantine with proof debt and explicit release blocker.",cargo test + targeted regression + P28 evidence manifest entry
C35,Claude hard audit,P1,P28-02 Identity/digest/package truth,"ArtifactFamilyRegistryV1 uses hardcoded ArtifactId(""artifact-family-registry:v1"")",,"Fix code and add regression test; if not fixed, quarantine with proof debt and explicit release blocker.",cargo test + targeted regression + P28 evidence manifest entry
C36,Claude hard audit,P1,P28-04 Schema/contract governance,AgentSpecV1::validate() rejects cloud_allowed = true with a P26-specific error string,"`aidens-contracts/src/lib.rs:1975`: `""cloud-providers-unsupported-for-p26-local-agent""`","Fix code and add regression test; if not fixed, quarantine with proof debt and explicit release blocker.",cargo test + targeted regression + P28 evidence manifest entry
C37,Claude hard audit,P1,P28-04 Schema/contract governance,CompletionAuditReportV1::new() hard-codes verifier gate command strings,`aidens-contracts/src/lib.rs`,"Fix code and add regression test; if not fixed, quarantine with proof debt and explicit release blocker.",cargo test + targeted regression + P28 evidence manifest entry
C38,Claude hard audit,P2,P28-01 Immediate bugfix and test coverage,coding_agent_risks() maps network access to CanonicalToolSideEffectClass::Analysis,`aidens-app-kit/src/lib.rs:132`,"Fix code and add regression test; if not fixed, quarantine with proof debt and explicit release blocker.",cargo test + targeted regression + P28 evidence manifest entry
C39,Claude hard audit,P2,P28-01 Immediate bugfix and test coverage,AiDENsProfile::product_surface_status() returns free-form strings,`aidens-app-kit/src/lib.rs:57`,"Fix code and add regression test; if not fixed, quarantine with proof debt and explicit release blocker.",cargo test + targeted regression + P28 evidence manifest entry
C40,Claude hard audit,P1,P28-04 Schema/contract governance,AiDENsRunBundleV2 still exists alongside V3,`aidens-contracts/src/lib.rs`,"Fix code and add regression test; if not fixed, quarantine with proof debt and explicit release blocker.",cargo test + targeted regression + P28 evidence manifest entry
C41,Claude hard audit,P1,P28-05 Package/boundary compiler hardening,read_text_lossy in z.py silently replaces non-UTF-8 bytes,`z.py:657`,"Fix code and add regression test; if not fixed, quarantine with proof debt and explicit release blocker. Include hostile/symlink/sandbox regression where applicable.",cargo test + targeted regression + P28 evidence manifest entry
C42,Claude hard audit,P1,P28-05 Package/boundary compiler hardening,safe_relative() in z.py swallows the fallback ValueError,`z.py:637`,"Fix code and add regression test; if not fixed, quarantine with proof debt and explicit release blocker. Include hostile/symlink/sandbox regression where applicable.",cargo test + targeted regression + P28 evidence manifest entry
C43,Claude hard audit,P2,P28-01 Immediate bugfix and test coverage,OperatorStatusReportV1::new() iterates doctor.sections.values().flat_map(|section| section.iter()) without sorting,`aidens-contracts/src/lib.rs:2412`,"Fix code and add regression test; if not fixed, quarantine with proof debt and explicit release blocker.",cargo test + targeted regression + P28 evidence manifest entry
C44,Claude hard audit,P2,P28-01 Immediate bugfix and test coverage,ToolDispatcher::invoke() does not record the permit_use_receipt in the invocation receipt when the executor is RepoRead,`tool-kit/src/lib.rs:790`,"Fix code and add regression test; if not fixed, quarantine with proof debt and explicit release blocker.",cargo test + targeted regression + P28 evidence manifest entry
C45,Claude hard audit,P1,P28-03 Execution context and receipts,AiDENsRunner stores canonical_receipts: Option<CanonicalEventLog> but the log config is also stored separately,`aidens-runner/src/lib.rs:1181`,"Fix code and add regression test; if not fixed, quarantine with proof debt and explicit release blocker.",cargo test + targeted regression + P28 evidence manifest entry
C46,Claude hard audit,P2,P28-08 Tool/patch/sandbox hardening,command_is_allowed_check is private and has no unit tests,`tool-kit`,"Fix code and add regression test; if not fixed, quarantine with proof debt and explicit release blocker.",cargo test + targeted regression + P28 evidence manifest entry
C47,Claude hard audit,P2,P28-08 Tool/patch/sandbox hardening,apply_single_replacement is not tested for the case where added contains the same content as removed,,"Fix code and add regression test; if not fixed, quarantine with proof debt and explicit release blocker.",cargo test + targeted regression + P28 evidence manifest entry
C48,Claude hard audit,P2,P28-08 Tool/patch/sandbox hardening,parse_simple_unified_diff has no test for a diff where --- and +++ appear in the same hunk body,,"Fix code and add regression test; if not fixed, quarantine with proof debt and explicit release blocker.",cargo test + targeted regression + P28 evidence manifest entry
C49,Claude hard audit,P2,P28-13 Causal/invariance tests,InvarianceReportV1 sets observational_equivalence_only = true and causal_identification_claimed = false by default,,"Fix code and add regression test; if not fixed, quarantine with proof debt and explicit release blocker.",cargo test + targeted regression + P28 evidence manifest entry
C50,Claude hard audit,P2,P28-01 Immediate bugfix and test coverage,PermitGrantV1::matches_scope() is not tested for the boundary case where expires_at == Utc::now(),,"Fix code and add regression test; if not fixed, quarantine with proof debt and explicit release blocker.",cargo test + targeted regression + P28 evidence manifest entry
C51,Claude hard audit,P1,P28-05 Package/boundary compiler hardening,z.py computes sha256_file for the archive SHA-256,`z.py:661`,"Fix code and add regression test; if not fixed, quarantine with proof debt and explicit release blocker.",cargo test + targeted regression + P28 evidence manifest entry
C52,Claude hard audit,P1,P28-05 Package/boundary compiler hardening,z.py's safe_relative() fallback may produce absolute paths,,"Fix code and add regression test; if not fixed, quarantine with proof debt and explicit release blocker. Include hostile/symlink/sandbox regression where applicable.",cargo test + targeted regression + P28 evidence manifest entry
C53,Claude hard audit,P0,P28-02 Identity/digest/package truth,The P27 STATUS_EVIDENCE_MANIFEST.json references package paths under target/p27/package/,`AiDENs-aidens-next-codex-context-20260505.zip`,Must fix or explicitly quarantine before P28 final package; no support-tier uplift if open.,cargo test + targeted regression + P28 evidence manifest entry
C54,Claude hard audit,P0,P28-06 Proof/debt/waiver/release law,KnownLimitationsRegisterV1::blocks_completion() returns true when the register is empty,`aidens-contracts/src/lib.rs:3765`,Must fix or explicitly quarantine before P28 final package; no support-tier uplift if open.,cargo test + targeted regression + P28 evidence manifest entry
C55,Claude hard audit,P0,P28-06 Proof/debt/waiver/release law,CrossPassTraceabilityRowV1::is_satisfied() returns true if waiver_receipt_ids is non-empty regardless of state,`aidens-contracts/src/lib.rs:3650`,Must fix or explicitly quarantine before P28 final package; no support-tier uplift if open.,cargo test + targeted regression + P28 evidence manifest entry
C56,Claude hard audit,P2,P28-09 Temporal/view honesty,RetrievalPolicyV1::forbids_silent_timeless_fallback() only checks is_time_scoped(),`aidens-contracts/src/lib.rs:2375`,"Fix code and add regression test; if not fixed, quarantine with proof debt and explicit release blocker.",cargo test + targeted regression + P28 evidence manifest entry
C57,Claude hard audit,P2,P28-01 Immediate bugfix and test coverage,DaemonNamespaceV1::with_safe_mode() is a builder but safe_mode_enabled is also a public field,`aidens-contracts/src/lib.rs:3010`,"Fix code and add regression test; if not fixed, quarantine with proof debt and explicit release blocker.",cargo test + targeted regression + P28 evidence manifest entry
C58,Claude hard audit,P2,P28-12 v11B reserved semantics containment,SubtractionPlanV1::is_lawful_append_only_reduction() only checks dry_run && !blocked && !destructive_deletion,`aidens-contracts/src/lib.rs:3835`,"Fix code and add regression test; if not fixed, quarantine with proof debt and explicit release blocker.",cargo test + targeted regression + P28 evidence manifest entry
C59,Claude hard audit,P0,P28-12 v11B reserved semantics containment,ConvergenceReportV1 stores degraded = !converged,`aidens-contracts/src/lib.rs:2818`,Must fix or explicitly quarantine before P28 final package; no support-tier uplift if open.,cargo test + targeted regression + P28 evidence manifest entry
C60,Claude hard audit,P2,P28-12 v11B reserved semantics containment,CompiledRegionGraphV1::is_bounded_region_graph() double-checks right_graph_law_satisfied and re-iterates regions,`aidens-contracts/src/lib.rs:4004`,"Fix code and add regression test; if not fixed, quarantine with proof debt and explicit release blocker.",cargo test + targeted regression + P28 evidence manifest entry
C61,Claude hard audit,P1,P28-01 Immediate bugfix and test coverage,"BudgetV1::deadline_exceeded() uses > not >=. A run that takes exactly max_turn_millis is not considered exceeded. The contract should specify whether equality is over or not, and tests cover only > max and < max, not == max.",,"Fix code and add regression test; if not fixed, quarantine with proof debt and explicit release blocker.",cargo test + targeted regression + P28 evidence manifest entry
C62,Claude hard audit,P1,P28-08 Tool/patch/sandbox hardening,"repo_list calls entry.metadata() which follows symlinks. If a directory entry is a symlink to a very large structure (e.g., a circular symlink), metadata() returns metadata for the target, but the entry kind will be ""file"" or ""dir"" — not ""symlink"". The sandbox could inadvertently expose symlinked-out content via listing.",,"Fix code and add regression test; if not fixed, quarantine with proof debt and explicit release blocker. Include hostile/symlink/sandbox regression where applicable.",cargo test + targeted regression + P28 evidence manifest entry
C63,Claude hard audit,P2,P28-08 Tool/patch/sandbox hardening,"SandboxCapabilityTruthV1::coding_default() denies .recall in denied_prefixes but the memory store is typically ~/.recall. Since the sandbox root is a *repository* path (not $HOME), .recall inside the sandbox root is a different directory from ~/.recall. The prefix check protects the wrong thing.",,"Fix code and add regression test; if not fixed, quarantine with proof debt and explicit release blocker. Include hostile/symlink/sandbox regression where applicable.",cargo test + targeted regression + P28 evidence manifest entry
C64,Claude hard audit,P1,P28-03 Execution context and receipts,"ProviderRouteReportV1::new() sets degraded_reason by joining reason_codes with "", "". If reason_codes is empty, degraded_reason becomes an empty string. But the field is Option<String>, so an empty string looks like a present value even though no reason was provided.",,"Fix code and add regression test; if not fixed, quarantine with proof debt and explicit release blocker.",cargo test + targeted regression + P28 evidence manifest entry
C65,Claude hard audit,P1,P28-03 Execution context and receipts,"JobV1::with_state() updates updated_at: Utc::now() and conditionally sets cancelled_at: Some(Utc::now()). These two Utc::now() calls may produce different timestamps if the system clock ticks between them, so cancelled_at could be *after* updated_at even though cancelled_at is conceptually the time of the state change.",,"Fix code and add regression test; if not fixed, quarantine with proof debt and explicit release blocker.",cargo test + targeted regression + P28 evidence manifest entry
C66,Claude hard audit,P0,P28-12 v11B reserved semantics containment,"HistoryPreservationReportV1::preserves_declared_history() checks !self.degraded && self.before_digest == self.after_digest. A compaction that removes items *and* produces a different digest is correctly flagged. But this means the method returns false for any compaction that actually changed the store, even if all declared invariants are preserved. The digests differing is the *point* of compaction — the check should be whether the post-compaction store satisfies the invariant queries, not whether the digests are identical.",,Must fix or explicitly quarantine before P28 final package; no support-tier uplift if open.,cargo test + targeted regression + P28 evidence manifest entry
C67,Claude hard audit,P1,P28-06 Proof/debt/waiver/release law,ReleaseReadinessReportV1::new() does not check whether any surface in surfaces is in Degraded state — only Blocked blocks release. A degraded surface silently passes the readiness check.,,"Fix code and add regression test; if not fixed, quarantine with proof debt and explicit release blocker.",cargo test + targeted regression + P28 evidence manifest entry
C68,Claude hard audit,P1,P28-06 Proof/debt/waiver/release law,InvariantBudgetV1::allows_receipt_compaction() requires approval_receipt_ids to be non-empty if requires_receipt_retention is true. But approval_receipt_ids is never validated for *content* — any non-empty list of IDs (even fabricated ones) satisfies the check.,,"Fix code and add regression test; if not fixed, quarantine with proof debt and explicit release blocker.",cargo test + targeted regression + P28 evidence manifest entry
C69,Claude hard audit,P1,P28-12 v11B reserved semantics containment,"RemovalFrontierV1::new() checks budget.preserves_claim_support() && support_core.support_evidence_ids.contains(evidence_id) to block evidence removal. But support_evidence_ids may be empty (a valid support core with no evidence). In that case, all evidence is removable, even if the invariant budget says claim support must be preserved. The guard should also check whether evidence is needed for claim support.",,"Fix code and add regression test; if not fixed, quarantine with proof debt and explicit release blocker.",cargo test + targeted regression + P28 evidence manifest entry
C70,Claude hard audit,P1,P28-01 Immediate bugfix and test coverage,CodexPacketV1::has_resume_context() checks that source_map is non-empty but does not validate that the paths in source_map are valid or reachable. A codex packet with a source_map containing only stale/deleted paths will still report has_resume_context() == true.,,"Fix code and add regression test; if not fixed, quarantine with proof debt and explicit release blocker.",cargo test + targeted regression + P28 evidence manifest entry
C71,Claude hard audit,P1,P28-01 Immediate bugfix and test coverage,"AiDENsRunBundleV3::new() takes 13 arguments (#[allow(clippy::too_many_arguments)]). The struct builder pattern used for other types is not applied here, making call sites verbose and prone to argument-order bugs (especially since attempt_family_id, attempt_id, and trial_id are three similar-looking IDs in sequence).",,"Fix code and add regression test; if not fixed, quarantine with proof debt and explicit release blocker.",cargo test + targeted regression + P28 evidence manifest entry
C72,Claude hard audit,P0,P28-02 Identity/digest/package truth,"The P27_STATUS_EVIDENCE_MANIFEST.json lists package_self_replay_phase20_skip_cargo with ""semantic_status"": ""degraded_exact_check"" but the top-level manifest ""semantic_status"": ""exact_check"". These are inconsistent — if any validation result is degraded, the aggregate should not claim exact_check status.",,Must fix or explicitly quarantine before P28 final package; no support-tier uplift if open.,cargo test + targeted regression + P28 evidence manifest entry
